Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE repL		-	32998.36	18.017	1	1	4134
Staphylococcus lentus GENE ermC		-	27891.41	15.228	1	1	4975
Staphylococcus lentus GENE repC		-	23832	13.012	1	1	5168
Staphylococcus lentus GENE tetK		-	20525.91	11.207	0.972932	0.972932	6272
Staphylococcus aureus GENE qacC		-	18526.28	10.115	0.979452	0.979452	1579
Staphylococcus aureus GI 33390919		-	12351.94	6.744	0.743719	0.834416	1230
Staphylococcus lentus GI 60416745		-	10544.48	5.757000000000001	1	1	121
Staphylococcus aureus GENE blaZ		-	7630.62	4.166	0.75378	0.75378	1314
Staphylococcus aureus GENE blaI		-	6804.8	3.7150000000000003	0.878307	0.878307	474
Staphylococcus aureus GENE blaR1		-	4564.2	2.492	0.545353	0.545353	1120
Proteus mirabilis GENE tnpA		-	4169.63	2.2769999999999997	1	1	42
Proteus mirabilis GENE sul1		-	3684.44	2.012	0.863636	0.863636	57
Staphylococcus epidermidis GeneID SEA1545		-	3124.15	1.706	0.594595	0.594595	148
Staphylococcus lentus GI 60416748		-	2646.39	1.4449999999999998	0.5	0.5	35
Staphylococcus aureus GI 33390920		-	2425.32	1.324	0.503185	0.503185	95
Staphylococcus aureus GI 33390939		-	1432.95	0.782	0.452381	0.452381	19
