Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human immunodeficiency virus 1	11676	3580.57	53.518	0.058211	0.058211	3820
Equine infectious anemia virus	11665	1712.5	25.596000000000004	0.04438	0.04438	4245
Staphylococcus phage StB20	1147043	483.6	7.228	0.061945	0.062829	1510
Staphylococcus phage Ipla7	1197953	262.97	3.9309999999999996	0.025223	0.042639	243
Staphylococcus phage CNPH82	398839	148.01	2.212	0.013584	0.030713	156
unclassified Siphoviridae	196894	136.54	2.041	0.011829	0.011829	28
Staphylococcus phage PH15	399185	115.14	1.7209999999999999	0.012191	0.025739	151
Enterobacteria phage YYZ-2008	564886	97.75	1.461	0.024609	0.018653	151
Human papillomavirus type 109	915426	92.03	1.376	0.020152	0.020152	77
Human papillomavirus type 135	1070408	61.34	0.9169999999999999	0.0145	0.0145	55
