Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacteriaceae	31953	53.339999999999996	27143928	35642777
Enterobacteriaceae	543	34.589999999999996	34394244	23113679
Lactobacillaceae	33958	4.1	1423654	2739696
Peptoniphilaceae	1570339	1.7600000000000005	669467	1176061
Flavobacteriaceae	49546	1.24	786680	828591
Alkalibacillaceae	186817	1.17	603735	781816
Bacteroidaceae	815	0.78	470660	521210
Aerococcaceae	186827	0.7000000000000001	264729	467753
Actinomycetaceae	2049	0.52	232948	347474
Propionibacteriaceae	31957	0.5	210569	334109
Streptococcaceae	1300	0.44	167021	294015
Enterococcaceae	81852	0.38	209258	253923
Mycobacteriaceae	1762	0.27	135010	180418
Staphylococcaceae	90964	0.15000000000000002	72535	100232
Porphyromonadaceae	171551	0.05	23120	33411
Campylobacteraceae	72294	0.03	7716	20046
Negativicoccaceae	31977	0.03	6580	20047
