Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Enterobacterales	91347	92.3	17221672	16490601
Lactobacillales	186826	5.989999999999998	490492	1070194
Actinomycetales	2037	0.6200000000000001	47648	110773
Flavobacteriales	200644	0.45000000000000007	49631	80398
Bacillales_D	1385	0.45	41084	80399
Tissierellales	1737405	0.12	7835	21441
Propionibacteriales	85009	0.03	1868	5360
Mycobacteriales	85010	0.02	1599	3574
Rhizobiales	356	0.01	2757	1787
Staphylococcales	1385	0.01	1097	1787
Bacteroidales	171549	0.01	623	1787
