Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Klebsiella pneumoniae GCA_000788005.1	573	93.65	21956587	21717992
Allobacillus halotolerans GCA_007559355.1	1955271	2.79	522459	647018
Imtechella halotolerans GCA_000260835.1	946077	2.6	599075	602955
Fannyhessea vaginae GCA_000159235.2	525256	0.8100000000000002	87041	187844
Allobacillus salarius GCA_007559425.1	1955272	0.07	12443	16233
Lactobacillus johnsonii GCA_000204985.1	909954	0.03	4195	6957
Lactobacillus sp910589175 GCA_910589175.1	153152	0.02	2511	4638
Lactobacillus paragasseri	2107999	0.01	2025	2319
Lacticaseibacillus rhamnosus	47715	0.01	1111	2319
Cutibacterium acnes	1747	0.01	926	2319
Rothia kristinae GCA_004362545.1	2183991	0.01	2222	2319
