Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium breve	1685	46.26	23479731	30911790
Escherichia coli	562	34.58	34388322	23106997
Bifidobacterium dentium	1689	7.08	3664197	4730987
Lactobacillus jensenii	109790	4.06	1410822	2712967
Imtechella halotolerans	1165090	1.24	786680	828591
Allobacillus halotolerans	570278	1.13	583379	755087
Facklamia hominis	178214	0.64	242098	427660
Prevotella histicola	470565	0.63	376402	420978
Propionimicrobium lymphophilum	33012	0.5	210569	334109
Enterococcus faecalis	1351	0.38	209258	253923
Anaerococcus prevotii	33034	0.34	130615	227194
Finegoldia magna	1260	0.26	96760	173737
Anaerococcus hydrogenalis	33029	0.25	97354	167055
Streptococcus pseudopneumoniae_E	712624	0.22999999999999998	90013	153690
Finegoldia magna_F	1260	0.21	82160	140326
Actinotignum timonense	1870995	0.2	91665	133644
Winkia sp002849225	29318	0.17	77269	113597
Streptococcus sp003428885	712624	0.13	48747	86868
Corynebacterium tuberculostearicum	38304	0.12	62257	80186
Peptoniphilus_A harei	54005	0.12	44993	80186
Corynebacterium tuberculostearicum_C	38304	0.11	51986	73504
Anaerococcus sp900258475	77133	0.11	50335	73504
Staphylococcus hominis	1290	0.08	35861	53457
Prevotella timonensis	386414	0.07	47512	46775
Finegoldia magna_H	1260	0.07	29632	46775
Anaerococcus marasmi	2057797	0.07	30473	46775
Ezakiella coagulans	46507	0.07	24135	46775
Varibaculum cambriense	184870	0.05	21383	33411
Lactobacillus gasseri	1596	0.04	12832	26729
Streptococcus mitis	28037	0.04	13573	26729
Falseniella ignava	137730	0.04	14477	26729
Allobacillus salarius	1955272	0.04	20356	26729
Prevotella timonensis_A	386414	0.04	24526	26729
Porphyromonas_A somerae	322095	0.04	20159	26729
Peptoniphilus_A harei_A	54005	0.04	13541	26729
Urinicoccus timonensis	2024205	0.04	14675	26729
Actinotignum sanguinis	1445614	0.03	12937	20047
Gleimia urinae	1689268	0.03	12271	20047
Staphylococcus epidermidis	1282	0.03	15790	20047
Negativicoccus succinicivorans	620903	0.03	6580	20047
Actinotignum schaalii_A	59505	0.02	8588	13364
Pauljensenia radingae_A	1673722	0.02	8835	13364
Corynebacterium pyruviciproducens	598660	0.02	12280	13364
Streptococcus pasteurianus	197614	0.02	7238	13364
Streptococcus mitis_AP	28037	0.02	7450	13364
Staphylococcus haemolyticus	1283	0.02	10865	13364
Prevotella buccalis	28127	0.02	13877	13364
Campylobacter_B ureolyticus	827	0.02	5084	13364
Anaerococcus senegalensis	1288120	0.02	6109	13364
Anaerococcus jeddahensis	1673719	0.02	8194	13364
Anaerococcus octavius	54007	0.02	6131	13364
Peptoniphilus_A lacrimalis	33031	0.02	6471	13364
Corynebacterium amycolatum_A	43765	0.01	3118	6682
Corynebacterium amycolatum	43765	0.01	5369	6682
Aerococcus urinae_D	1376	0.01	5934	6682
Aerococcus urinae_A	1376	0.01	2220	6682
Staphylococcus pettenkoferi	170573	0.01	5264	6682
Staphylococcus aureus	1280	0.01	4755	6682
Enterobacter kobei	208224	0.01	5922	6682
Prevotella sp000163055	575614	0.01	6040	6682
Prevotella sp900547085	838	0.01	2303	6682
Porphyromonas_A bennonis	501496	0.01	2961	6682
Campylobacter_B ureolyticus_A	827	0.01	2632	6682
Anaerococcus vaginalis	33037	0.01	2961	6682
Anaerococcus vaginimassiliensis	2042308	0.01	2407	6682
Anaerococcus provencensis	938293	0.01	3073	6682
Anaerococcus lactolyticus	33032	0.01	2747	6682
Anaerococcus mediterraneensis	1870984	0.01	2165	6682
Peptoniphilus_A vaginalis	54005	0.01	2859	6682
Peptoniphilus_A grossensis	1465756	0.01	2654	6682
Urinicoccus massiliensis	1723382	0.01	3509	6682
Peptoniphilus_C coxii	755172	0.01	3672	6682
Peptoniphilus_E obesi	1472765	0.01	1842	6682
