Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Escherichia coli	562	92.72	1470267	1421292
Allobacillus halotolerans	570278	2.31	19790	35410
Imtechella halotolerans	1165090	2.27	23958	34797
Propionimicrobium lymphophilum	33012	0.8100000000000002	5588	12416
Actinotignum sanguinis	1445614	0.43	2989	6591
Actinobaculum massiliense	202789	0.37	2523	5672
Anaerococcus lactolyticus	33032	0.28	1854	4292
Varibaculum massiliense	1852372	0.24	1888	3679
Aerococcus urinae_B	1376	0.12	766	1839
Actinotignum schaalii_A	59505	0.12	820	1839
Aerococcus sp001813115	119206	0.1	735	1533
Peptoniphilus_B duerdenii	507750	0.07	496	1073
Allobacillus salarius	1955272	0.06	532	920
Aerococcus urinae_D	1376	0.05	342	766
Facklamia hominis	178214	0.02	117	307
Peptoniphilus_C_u_s	162289	0.02	106	307
Peptoniphilus_A harei_A	54005	0.02	115	307
