Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Bacillales	1385	15836.83	44.07	3708
Corynebacteriales	85007	9052.85	25.191	4754
Tissierellales	1737405	4459.31	12.407999999999998	41671
Actinomycetales	2037	3972.93	11.055	71276
Propionibacteriales	85009	1552.1399999999999	4.319	363
Micrococcales	85006	416.37	1.159	1105
Pseudomonadales	72274	207.36	0.577	22
Clostridiales	186802	127.85	0.356	346
Lactobacillales	186826	122.54	0.34099999999999997	13
Erysipelotrichales	526525	106.58	0.297	652
Pasteurellales	135625	82.07	0.22799999999999998	151
