Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus anginosus GCA_000508545.1	1403946	12.689999999999998	125138	161923
Gemmiger formicilis GCA_900167555.1	745368	10.99	174714	140232
Streptococcus thermophilus GCA_000521305.1	1423145	3.7900000000000005	32359	48360
Ruminococcus_E bromii GCA_002834225.1	40518	3.39	36091	43256
Blautia_A wexlerae GCA_015667495.1	418240	3.29	66872	41980
Gemmiger qucibialis GCA_003324125.1	2086273	2.64	44899	33686
Finegoldia magna_H GCA_000179495.1	768713	2.55	22480	32538
Varibaculum massiliense GCA_900106855.1	1852372	2.45	27703	31262
Finegoldia magna GCA_009678325.1	2584649	2.23	19982	28455
Methanosphaera stadtmanae GCA_000012545.1	339860	2.07	18328	26413
Allobacillus halotolerans GCA_007559355.1	1955271	1.86	23338	23733
Imtechella halotolerans GCA_000260835.1	946077	1.77	27200	22585
Anaerostipes hadrus GCA_000332875.2	649757	1.7500000000000002	23922	22330
CAG-41 sp900066215 GCA_003460745.1	2292896	1.5	23670	19140
Methanobrevibacter_A smithii GCA_000016525.1	420247	1.43	13242	18247
Actinobaculum massiliense GCA_000315465.1	883066	1.36	13591	17353
Streptococcus vestibularis GCA_000188295.1	889206	1.33	11733	16971
Corynebacterium pyruviciproducens GCA_000411375.1	1125779	1.23	16406	15695
Ruminococcus_E bromii_B GCA_009718325.1	40518	1.11	12394	14164
Blautia_A faecis GCA_015551945.1	2787115	1.09	23541	13908
Collinsella aerofaciens_I GCA_005845035.1	74426	1.08	12220	13781
Faecalibacterium prausnitzii_J GCA_003287405.1	853	0.98	14673	12505
Finegoldia magna_F GCA_000159695.1	525282	0.96	8942	12250
Latilactobacillus curvatus GCA_902362325.1	28038	0.89	7831	11356
Mediterraneibacter faecis GCA_001312505.1	1298596	0.88	14047	11229
Winkia sp002849225 GCA_000296485.1	888439	0.86	9154	10974
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.78	6927	9953
Odoribacter massiliensis GCA_003482005.1	2293112	0.75	15116	9570
Collinsella aerofaciens_X GCA_015546965.1	74426	0.72	8143	9187
Fimenecus sp000432435 GCA_000432435.1	1262882	0.61	5740	7784
Corynebacterium simulans GCA_001586215.1	146827	0.61	8196	7784
Anaerococcus vaginalis_B GCA_000307225.1	33037	0.56	5382	7146
Blautia_A obeum GCA_001405215.1	40520	0.54	10404	6890
Varibaculum cambriense GCA_000420065.1	1123488	0.54	5443	6890
Anaerococcus sp900258475 GCA_900258475.1	2057799	0.53	5910	6763
Bacteroides uniformis GCA_015552985.1	820	0.53	12440	6763
Akkermansia sp004167605 GCA_008421785.1	2584597	0.53	8482	6763
Streptococcus oralis_S GCA_000257475.1	1095740	0.4699999999999999	4390	5997
Varibaculum cambriense_A GCA_000508625.1	1403948	0.4699999999999999	5262	5997
Staphylococcus epidermidis	1282	0.45000000000000007	5247	5742
Collinsella sp003438495 GCA_902399765.1	2011094	0.45000000000000007	5091	5742
Collinsella sp900551305 GCA_009876295.1	74426	0.45000000000000007	4958	5742
Collinsella sp900551605 GCA_015560135.1	74426	0.43	4856	5487
Pauljensenia turicensis GCA_000296505.1	883077	0.42	4033	5359
Collinsella aerofaciens_P GCA_015558785.1	74426	0.4099999999999999	4403	5232
Blautia_A obeum	40520	0.38	6833	4849
Faecalibacterium longum GCA_003293635.1	853	0.38	5238	4849
Evtepia gabavorous GCA_003425665.1	2211183	0.38	4636	4849
Collinsella sp902363125 GCA_902363125.1	2011094	0.38	4303	4849
Alistipes putredinis GCA_000154465.1	445970	0.37	4656	4721
Collinsella aerofaciens_M GCA_015549965.1	74426	0.37	4196	4721
Lachnospira sp900316325 GCA_014287955.1	2763051	0.35	4984	4466
Fenollaria timonensis GCA_001457835.1	1723384	0.35	2962	4466
Romboutsia timonensis GCA_900106845.1	1776391	0.35	5439	4466
Streptococcus sp019448285 GCA_000506725.1	1415765	0.34	3301	4338
Faecalibacterium prausnitzii GCA_009680085.1	853	0.34	5241	4338
Adlercreutzia hattorii GCA_003340305.1	394340	0.34	4808	4338
Pauljensenia radingae_A GCA_001457875.1	1673722	0.34	4080	4338
