Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bacilli	91061	72.30000000000003	1670905	1775784
Bacteroidia	200643	11.839999999999998	383639	290807
Clostridia	186801	10.52	207343	258386
Gammaproteobacteria	1236	2.79	135405	68526
Actinomycetia	1760	1.4500000000000002	34554	35614
Negativicutes	909932	0.5700000000000001	8226	14000
Coriobacteriia	84998	0.22	5370	5403
Campylobacteria	29547	0.19	3330	4667
Alphaproteobacteria	28211	0.1	7038	2456
Verrucomicrobiae	203494	0.01	320	246
