ID	Name	Copies per Million (CPM)	Relative Abundance
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	47800.6	4.780059928777108
PWY-5100	pyruvate fermentation to acetate and lactate II	47800.6	4.780059928777108
LACTOSECAT-PWY	lactose and galactose degradation I	43988.4	4.398839934457286
TRNA-CHARGING-PWY	tRNA charging	42673	4.267299936417232
PWY-5686	UMP biosynthesis I	41252.8	4.125279938533331
PWY-7790	UMP biosynthesis II	41252.8	4.125279938533331
PWY-7791	UMP biosynthesis III	41252.8	4.125279938533331
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	41002.1	4.100209938906873
PWY-5667	CDP-diacylglycerol biosynthesis I	40187.4	4.018739940120776
PWY0-1319	CDP-diacylglycerol biosynthesis II	40187.4	4.018739940120776
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	37275.2	3.7275199444599534
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	31970.9	3.1970899523633607
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	30731.6	3.0731599542099173
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	29975.7	2.9975699553362087
PWY-922	mevalonate pathway I (eukaryotes and bacteria)	26944.5	2.6944499598526965
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	20755.3	2.0755299690746036
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	20718.1	2.071809969130032
PWY-1042	glycolysis IV	18517.6	1.8517599724087768
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	15242.9	1.5242899772880796
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	14327.2	1.4327199786524727
PWY-5484	glycolysis II (from fructose 6-phosphate)	10032.3	1.0032299850518736
PWY-5981	CDP-diacylglycerol biosynthesis III	9111.86	0.911185986423329
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	8030.28	0.8030279880348832
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	7186.25	0.7186249892924879
