Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcaceae	1300	85.78	5442820	5625814
Bifidobacteriaceae	31953	5.739999999999999	399826	376453
Enterococcaceae	81852	4.25	359137	278733
Flavobacteriaceae	49546	1.9	176818	124610
Alkalibacillaceae	186817	1.84	139008	120675
Mycobacteriaceae	1762	0.17	14149	11149
Aerococcaceae	186827	0.08	4499	5248
Staphylococcaceae	90964	0.08	6423	5247
Peptoniphilaceae	1570339	0.04	1869	2624
Actinomycetaceae	2049	0.03	1865	1968
Burkholderiaceae	119060	0.03	4786	1968
Xanthobacteraceae	335928	0.02	4119	1312
Lactobacillaceae	33958	0.01	392	656
Bacteroidaceae	815	0.01	1769	656
Veillonellaceae	31977	0.01	706	656
Dialisteraceae	31977	0.01	235	656
