Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	25.96	906903	1093123
Actinomycetales	2037	23.060000000000002	973732	971011
Bacteroidales	171549	20.479999999999997	1104909	862370
Tissierellales	1737405	12.93	468199	544453
Mycobacteriales	85010	6.48	311165	272859
Propionibacteriales	85009	5.489999999999999	218151	231172
Coriobacteriales	84999	1.8300000000000003	53199	77057
Flavobacteriales	200644	0.74	44502	31160
Bacillales_D	1385	0.7100000000000001	34468	29896
Veillonellales	1843489	0.6500000000000001	17908	27369
Campylobacterales	213849	0.53	17149	22317
Peptostreptococcales	186802	0.45999999999999996	18762	19370
Synergistales	649776	0.33	11483	13896
Staphylococcales	1385	0.19	8216	8000
Rhizobiales	356	0.11	16975	4631
Peptococcales	186802	0.04	1632	1684
Desulfovibrionales	213115	0.03	2913	1263
Fusobacteriales	203491	0.01	526	421
