Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Streptococcus anginosus GCA_000508545.1	1403946	GCA_000508545.1	Bacteria	12.67	0.87664	0.111588	125245	162255
s__Gemmiger formicilis GCA_900167555.1	745368	GCA_900167555.1	Bacteria	10.97	0.505488	0.503169	174864	140484
s__Streptococcus thermophilus GCA_000521305.1	1423145	GCA_000521305.1	Bacteria	3.7800000000000002	0.870057	0.119658	32387	48408
s__Ruminococcus_E bromii GCA_002834225.1	40518	GCA_002834225.1	Bacteria	3.39	0.545011	0.516213	36122	43413
s__Blautia_A wexlerae GCA_015667495.1	418240	GCA_015667495.1	Bacteria	3.29	0.526723	0.296552	66930	42132
s__Gemmiger qucibialis GCA_003324125.1	2086273	GCA_003324125.1	Bacteria	2.64	0.518931	0.520737	44938	33808
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	Bacteria	2.55	0.487985	0.123661	22500	32656
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	2.45	0.52695	0.513058	27727	31375
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	2.23	0.35211	0.154002	20000	28558
s__Methanosphaera stadtmanae GCA_000012545.1	339860	GCA_000012545.1	Bacteria	2.06	0.844907	0.844907	18343	26381
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	1.86	0.50883	0.506275	23359	23820
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	1.76	0.769578	0.769578	27224	22539
s__Anaerostipes hadrus GCA_000332875.2	649757	GCA_000332875.2	Bacteria	1.7399999999999998	0.525385	0.503214	23943	22283
s__CAG-41 sp900066215 GCA_003460745.1	2292896	GCA_003460745.1	Bacteria	1.5	0.37276	0.211202	23690	19209
s__Methanobrevibacter_A smithii GCA_000016525.1	420247	GCA_000016525.1	Bacteria	1.42	0.743527	0.404971	13253	18185
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	1.36	0.480446	0.481024	13603	17416
s__Streptococcus vestibularis GCA_000188295.1	889206	GCA_000188295.1	Bacteria	1.33	0.350353	0.112271	11743	17032
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	Bacteria	1.23	0.342928	0.342418	16421	15752
s__Ruminococcus_E bromii_B GCA_009718325.1	40518	GCA_009718325.1	Bacteria	1.11	0.18075	0.031769	12405	14215
s__Blautia_A faecis GCA_015551945.1	2787115	GCA_015551945.1	Bacteria	1.09	0.397709	0.10963	23561	13959
s__Collinsella aerofaciens_I GCA_005845035.1	74426	GCA_005845035.1	Bacteria	1.07	0.069929	0.060725	12231	13703
s__Faecalibacterium prausnitzii_J GCA_003287405.1	853	GCA_003287405.1	Bacteria	0.98	0.213545	0.180331	14685	12550
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	Bacteria	0.96	0.200516	0.066135	8949	12294
