Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus anginosus	1328	25.35	884771	1067436
Bifidobacterium breve	1685	9.71	455208	408868
Prevotella bivia	28125	6.99	339806	294334
Propionimicrobium lymphophilum	33012	5.46	216652	229909
Prevotella timonensis	386414	4.7	291292	197907
Finegoldia magna_H	1260	4.62	168293	194539
Actinobaculum massiliense	202789	3.7900000000000005	147801	159589
Prevotella timonensis_A	386414	2.76	169087	116218
Bifidobacterium vaginale	2702	2.47	79082	104007
Corynebacterium riegelii	156976	1.91	93625	80426
Prevotella buccalis	28127	1.7500000000000002	101425	73689
Atopobium deltae	1393034	1.5700000000000003	43962	66109
Peptoniphilus_A harei_A	54005	1.55	54024	65267
Corynebacterium tuscaniense	302449	1.32	56584	55582
Porphyromonas uenonis	281920	1.31	57138	55161
Varibaculum massiliense	1852372	1.21	53559	50951
Corynebacterium pyruviciproducens	598660	1.15	59945	48424
Prevotella sp900547085	838	1.09	44476	45898
Anaerococcus vaginalis_B	33037	1.04	39195	43792
Peptoniphilus_A lacrimalis	33031	0.9399999999999998	32827	39581
Trueperella bernardiae	59561	0.93	35638	39160
Pauljensenia turicensis	131111	0.91	34381	38318
Actinotignum sanguinis	1445614	0.8699999999999999	34533	36634
Peptoniphilus_C coxii	755172	0.8	28441	33686
Imtechella halotolerans	1165090	0.74	44502	31160
Brevibacterium ravenspurgense	479117	0.7	30780	29476
Corynebacterium striatum	43770	0.7	36376	29476
Allobacillus halotolerans	570278	0.68	33146	28633
Varibaculum cambriense	184870	0.63	24876	26528
Ezakiella coagulans	46507	0.61	21149	25686
Prevotella sp000479005	28127	0.57	30892	24002
Peptoniphilus_A grossensis	1465756	0.51	19983	21475
Prevotella bergensis	242750	0.48	30649	20212
Corynebacterium glucuronolyticum	39791	0.45999999999999996	24458	19370
Peptostreptococcus anaerobius	1261	0.45999999999999996	18762	19370
Finegoldia magna	1260	0.44	14771	18527
Dialister micraerophilus	309120	0.44	10573	18527
Lawsonella clevelandensis	1528099	0.4099999999999999	14744	17264
Finegoldia magna_F	1260	0.4099999999999999	15079	17264
Actinotignum schaalii_A	59505	0.33	13160	13896
Jonquetella anthropi	428712	0.33	11483	13896
Gleimia urinae	1689268	0.32	12196	13475
Prevotella colorans	1703337	0.32	18065	13475
Campylobacter_B ureolyticus	827	0.25	7894	10527
Peptoniphilus_B duerdenii	507750	0.25	9450	10527
Facklamia hominis	178214	0.24	8530	10106
Varibaculum cambriense_A	184870	0.22	9473	9264
Winkia sp002849225	29318	0.22	9122	9264
Olegusella massiliensis	1776381	0.22	7824	9264
Peptoniphilus_A vaginalis	54005	0.2	7215	8422
Urinicoccus massiliensis	1723382	0.2	7893	8422
Pauljensenia radingae_A	1673722	0.19	8973	8001
Dermabacter hominis	36740	0.18	7673	7579
Porphyromonas uenonis_A	281920	0.18	7360	7579
Corynebacterium sp001806875	156976	0.16	7270	6737
Campylobacter_B ureolyticus_A	827	0.16	5270	6737
Peptoniphilus_C pacaensis	1776390	0.16	5832	6737
Staphylococcus haemolyticus	1283	0.15	6510	6316
Aerococcus urinae_B	1376	0.14	5094	5895
Anaerococcus sp900258475	77133	0.14	6231	5895
Veillonella parvula_A	29466	0.14	5441	5895
Porphyromonas_A sp001808555	1739394	0.13	5426	5474
Campylobacter_B hominis	76517	0.12	3985	5053
Peptoniphilus_B sp000478985	507751	0.12	4470	5053
Corynebacterium tuberculostearicum	38304	0.11	5369	4632
Prevotella_u_s	838	0.11	5252	4632
Ndongobacter massiliensis	1871025	0.11	4113	4632
Mobiluncus curtisii	2051	0.1	3992	4211
Anaerococcus obesiensis	1287640	0.1	3699	4211
Fenollaria timonensis	1723384	0.1	3345	4211
Falseniella ignava	137730	0.09	2849	3790
Actinotignum timonense	1870995	0.09	3940	3790
Peptoniphilus_A harei	54005	0.09	3135	3790
Anaerococcus jeddahensis	1673719	0.09	3103	3790
Corynebacterium tuberculostearicum_C	38304	0.08	3684	3369
Corynebacterium simulans	146827	0.08	4169	3369
Aerococcus urinae_A	1376	0.07	2592	2948
Aerococcus urinae_D	1376	0.07	3067	2948
Actinomyces urogenitalis	103621	0.07	3557	2948
Urinicoccus timonensis	2024205	0.07	2632	2948
Bifidobacterium infantis	216816	0.06	3205	2526
Anaerococcus vaginalis_C	77133	0.06	1976	2526
Anaerococcus lactolyticus	33032	0.06	2250	2526
Negativicoccus succinicivorans	620903	0.06	1499	2526
Bradyrhizobium sp003020075	2057741	0.06	9507	2526
Peptoniphilus_A senegalensis	1465757	0.05	1875	2105
Anaerococcus vaginalis	33037	0.05	1678	2105
Peptoniphilus_E obesi	1472765	0.05	1602	2105
Gleimia europaea_B	66228	0.04	1321	1684
Corynebacterium aurimucosum_F	169292	0.04	1872	1684
Corynebacterium imitans	156978	0.04	2163	1684
Slackia exigua	84109	0.04	1413	1684
Porphyromonas asaccharolytica	28123	0.04	1749	1684
Porphyromonas_A somerae	322095	0.04	1835	1684
Anaerococcus hydrogenalis	33029	0.04	1511	1684
Anaerococcus senegalensis	1288120	0.04	1529	1684
Peptococcus niger	2741	0.04	1632	1684
Staphylococcus borealis	2742203	0.03	1278	1263
Allobacillus salarius	1955272	0.03	1322	1263
Fenollaria massiliensis	938288	0.03	898	1263
Bilophila wadsworthia	35833	0.03	2913	1263
Bradyrhizobium_u_s	374	0.03	4721	1263
Cutibacterium avidum	33010	0.02	942	842
Corynebacterium_u_s	1716	0.02	906	842
Bradyrhizobium elkanii	29448	0.02	2747	842
Staphylococcus epidermidis	1282	0.01	428	421
Winkia neuii	33007	0.01	583	421
Brevibacterium sp001815905	1176165	0.01	679	421
Cutibacterium_u_s	1912216	0.01	557	421
Porphyromonas_A bennonis	501496	0.01	457	421
Anaeroglobus vaginalis	1111454	0.01	395	421
Fusobacterium polymorphum	851	0.01	526	421
