Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	37276.92	86.02400000000002	27054
Micrococcaceae	1268	2366.65	5.462	1916
Corynebacteriaceae	1653	1110.47	2.562	7171
Aerococcaceae	186827	676.17	1.5599999999999998	6122
Pseudomonadaceae	135621	594.2	1.371	10410
Moraxellaceae	468	409.1	0.944	4202
Propionibacteriaceae	31957	334.65999999999997	0.772	1094
Peptoniphilaceae	1570339	178.25	0.411	123
Porphyromonadaceae	171551	171.47	0.396	15
Actinomycetaceae	2049	124.75	0.28800000000000003	46
Aeromonadaceae	84642	90.62	0.209	9
