Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Staphylococcus	1279	50.86	3331224	2991711
Lactobacillus	1578	36.36	1717384	2138785
Propionimicrobium	203133	2.82	180455	165879
Prevotella	838	2.75	238741	161762
Streptococcus	1301	2.54	137412	149409
Varibaculum	184869	1.5000000000000002	95956	88234
Finegoldia	150022	0.51	26815	29999
Peptoniphilus_A	162289	0.51	26002	30000
Anaerococcus	165779	0.36	19908	21176
Actinotignum	1653174	0.26	15016	15294
Porphyromonas	836	0.24000000000000002	14433	14117
Vaginimicrobium	2919589	0.22999999999999998	13224	13529
Allobacillus	1400133	0.2	14115	11764
Imtechella	1165076	0.19	16908	11176
Peptoniphilus_C	162289	0.18	9397	10588
Campylobacter_B	194	0.11000000000000001	5188	6471
Corynebacterium	1716	0.06	4528	3529
Dialister	39948	0.06	2406	3530
Atopobium	1380	0.05	1973	2941
Urinicoccus	2024199	0.04	2293	2353
Aerococcus	1375	0.03	1692	1765
Mobiluncus	2050	0.03	1557	1765
Falseniella	2862142	0.02	1125	1176
Porphyromonas_A	836	0.02	609	1176
Peptoniphilus_B	162289	0.02	1156	1176
Pauljensenia	2740557	0.02	1567	1176
Fenollaria	1686313	0.01	309	588
Winkia	2692118	0.01	484	588
Veillonella	29465	0.01	370	588
