Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	19958.3	1.9958300098961184
PF07690	Major Facilitator Superfamily	10988	1.0988000054482872
PF00528	Binding-protein-dependent transport system inner membrane component	10951.5	1.0951500054301893
PF00072	Response regulator receiver domain	5610.83	0.5610830027820727
PF03466	LysR substrate binding domain	5050.98	0.5050980025044767
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	4653.14	0.46531400230721187
PF00356	Bacterial regulatory proteins, lacI family	4384.49	0.4384490021740044
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3948.13	0.3948130019576399
PF00155	Aminotransferase class I and II	3390.24	0.33902400168101576
PF07992	Pyridine nucleotide-disulphide oxidoreductase	3357	0.33570000166453406
PF00196	Bacterial regulatory proteins, luxR family	3334.63	0.33346300165344217
PF00440	Bacterial regulatory proteins, tetR family	3149.78	0.3149780015617862
PF00873	AcrB/AcrD/AcrF family	3096.6	0.3096600015354174
PF00392	Bacterial regulatory proteins, gntR family	3004.93	0.3004930014899638
PF12833	Helix-turn-helix domain	3002.6	0.30026000148880844
PF02653	Branched-chain amino acid transport system / permease component	2983.67	0.2983670014794222
PF00294	pfkB family carbohydrate kinase	2983.35	0.29833500147926356
PF00589	Phage integrase family	2961.71	0.2961710014685336
PF00171	Aldehyde dehydrogenase family	2923.15	0.292315001449414
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	2882.22	0.28822200142911925
PF00128	Alpha amylase, catalytic domain	2843.32	0.2843320014098311
PF00324	Amino acid permease	2808.76	0.2808760013926949
PF00577	Outer membrane usher protein	2786.34	0.2786340013815782
PF00271	Helicase conserved C-terminal domain	2782.26	0.27822600137955517
PF00563	EAL domain	2619.71	0.2619710012989564
PF00293	NUDIX domain	2545.75	0.25457500126228405
PF00535	Glycosyl transferase family 2	2544.37	0.2544370012615998
PF00486	Transcriptional regulatory protein, C terminal	2513.39	0.2513390012462387
PF00860	Permease family	2471.72	0.24717200122557703
PF00083	Sugar (and other) transporter	2398.97	0.2398970011895047
PF00497	Bacterial extracellular solute-binding proteins, family 3	2328.54	0.2328540011545827
PF00248	Aldo/keto reductase family	2290.75	0.22907500113584492
PF00501	AMP-binding enzyme	2286.65	0.228665001133812
PF00419	Fimbrial protein	2258.51	0.22585100111985906
PF02378	Phosphotransferase system, EIIC	2250.77	0.22507700111602125
PF00384	Molybdopterin oxidoreductase	2219.29	0.22192900110041222
PF00270	DEAD/DEAH box helicase	2174.1	0.21741000107800523
PF00512	His Kinase A (phospho-acceptor) domain	2166.78	0.2166780010743757
PF04055	Radical SAM superfamily	2164.13	0.21641300107306172
PF00343	Carbohydrate phosphorylase	2022.42	0.20224200100279624
PF00480	ROK family	1970.95	0.19709500097727536
PF00696	Amino acid kinase family	1937.19	0.19371900096053582
PF13520	Amino acid permease	1932.79	0.19327900095835412
PF00892	EamA-like transporter family	1920.08	0.192008000952052
PF02447	GntP family permease	1910.68	0.19106800094739113
PF00664	ABC transporter transmembrane region	1863	0.1863000009237495
PF00884	Sulfatase	1846.67	0.1846670009156524
PF00009	Elongation factor Tu GTP binding domain	1831.24	0.1831240009080016
PF00158	Sigma-54 interaction domain	1823.6	0.1823600009042134
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	1820.24	0.18202400090254736
PF00455	DeoR C terminal sensor domain	1813.55	0.1813550008992302
PF00132	Bacterial transferase hexapeptide (six repeats)	1770.4	0.17704000087783472
PF02687	FtsX-like permease family	1756.54	0.17565400087096236
PF01381	Helix-turn-helix	1751.32	0.17513200086837408
PF00300	Histidine phosphatase superfamily (branch 1)	1715.08	0.17150800085040485
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family	1685.76	0.16857600083586682
PF00583	Acetyltransferase (GNAT) family	1665.4	0.16654000082577156
PF08240	Alcohol dehydrogenase GroES-like domain	1654.61	0.16546100082042142
PF00990	Diguanylate cyclase, GGDEF domain	1653.83	0.16538300082003465
PF00106	short chain dehydrogenase	1623.18	0.1623180008048372
PF00107	Zinc-binding dehydrogenase	1604.73	0.16047300079568894
PF01926	50S ribosome-binding GTPase	1602.8	0.16028000079473195
PF00665	Integrase core domain	1573.83	0.1573830007803675
PF13416	Bacterial extracellular solute-binding protein	1566.8	0.15668000077688174
PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1541.6	0.15416000076438657
PF08245	Mur ligase middle domain	1537.68	0.1537680007624429
PF00291	Pyridoxal-phosphate dependent enzyme	1532.79	0.1532790007600182
PF00872	Transposase, Mutator family	1520.67	0.15206700075400867
PF13407	Periplasmic binding protein domain	1506.98	0.1506980007472206
PF00345	Pili and flagellar-assembly chaperone, PapD N-terminal domain	1506.63	0.15066300074704708
PF01979	Amidohydrolase family	1492.45	0.14924500074001606
PF00117	Glutamine amidotransferase class-I	1488.63	0.14886300073812195
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit	1476.68	0.14766800073219666
PF00239	Resolvase, N terminal domain	1476.66	0.14766600073218675
PF07729	FCD domain	1469.41	0.1469410007285919
PF00465	Iron-containing alcohol dehydrogenase	1459.17	0.14591700072351452
PF00152	tRNA synthetases class II (D, K and N)	1451.19	0.1451190007195577
PF01546	Peptidase family M20/M25/M40	1449.7	0.1449700007188189
PF00206	Lyase	1442.97	0.1442970007154819
PF00588	SpoU rRNA Methylase family	1439.26	0.14392600071364234
PF00534	Glycosyl transferases group 1	1434.85	0.14348500071145567
PF01380	SIS domain	1433.41	0.14334100071074168
PF07702	UTRA domain	1433.38	0.1433380007107268
PF00672	HAMP domain	1432.22	0.14322200071015162
PF08220	DeoR-like helix-turn-helix domain	1429.22	0.14292200070866412
PF02661	Fic/DOC family	1421.2	0.14212000070468747
PF02782	FGGY family of carbohydrate kinases, C-terminal domain	1392.29	0.13922900069035274
PF00905	Penicillin binding protein transpeptidase domain	1384.98	0.13849800068672816
PF01479	S4 domain	1370.6	0.13706000067959795
PF01547	Bacterial extracellular solute-binding protein	1368.15	0.13681500067838318
PF01751	Toprim domain	1366.56	0.13665600067759479
PF01464	Transglycosylase SLT domain	1352.49	0.13524900067061832
PF00483	Nucleotidyl transferase	1340.26	0.1340260006645542
PF01116	Fructose-bisphosphate aldolase class-II	1325.28	0.1325280006571265
PF00004	ATPase family associated with various cellular activities (AAA)	1323.81	0.13238100065639763
PF00582	Universal stress protein family	1314.05	0.13140500065155825
PF00202	Aminotransferase class-III	1286.92	0.1286920006381061
PF02901	Pyruvate formate lyase-like	1283.11	0.12831100063621695
PF01609	Transposase DDE domain	1281.99	0.12819900063566161
PF00890	FAD binding domain	1262.25	0.12622500062587375
PF01266	FAD dependent oxidoreductase	1246.01	0.1246010006178213
PF02896	PEP-utilising enzyme, TIM barrel domain	1244.34	0.12443400061699324
PF00575	S1 RNA binding domain	1243.96	0.12439600061680484
PF00156	Phosphoribosyl transferase domain	1242.82	0.12428200061623956
PF00580	UvrD/REP helicase N-terminal domain	1241.19	0.12411900061543137
PF00849	RNA pseudouridylate synthase	1240.58	0.1240580006151289
PF00571	CBS domain	1227.16	0.12271600060847472
PF13361	UvrD-like helicase C-terminal domain	1220.75	0.1220750006052964
PF00593	TonB dependent receptor	1215.09	0.12150900060248994
PF01276	Orn/Lys/Arg decarboxylase, major domain	1211.49	0.12114900060070492
PF13276	HTH-like domain	1201.73	0.12017300059586553
PF00367	phosphotransferase system, EIIB	1200.76	0.12007600059538454
PF02875	Mur ligase family, glutamate ligase domain	1181.74	0.11817400058595368
PF00999	Sodium/hydrogen exchanger family	1164.34	0.11643400057732606
PF01548	Transposase	1163.95	0.1163950005771327
PF01594	AI-2E family transporter	1154.87	0.11548700057263045
PF01527	Transposase	1150.92	0.11509200057067191
