Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	27194.47	16.061	0.668342	0.785714	3292
Staphylococcus lentus GENE repL		-	21335.43	12.601	1	1	2550
Staphylococcus lentus GENE ermC		-	17209.12	10.164	1	1	2797
Staphylococcus aureus GI 33390947		-	16329.79	9.644	1	1	396
Staphylococcus aureus GI 33390920		-	11387.13	6.7250000000000005	1	1	879
Staphylococcus aureus GENE thyA		-	10305.04	6.085999999999999	0.967557	0.967557	1892
Staphylococcus epidermidis GeneID SEA1545		-	9574.53	5.655	1	1	860
Staphylococcus aureus GENE dfrA		-	8897.99	5.255	0.815451	0.815451	951
Staphylococcus aureus GENE 1602 Branch		-	7284.58	4.3020000000000005	0.711111	0.535714	78
Staphylococcus lentus GENE repC		-	5530.51	3.266	0.540603	0.540603	997
Staphylococcus aureus GENE cap 1548 Branch		-	5510.19	3.254	0.463487	0.463487	325
Staphylococcus aureus GI 33390966		-	4769.25	2.817	0.632768	0.632768	539
Staphylococcus aureus GI 33390965		-	4549.26	2.6870000000000003	0.604755	0.604755	766
Staphylococcus aureus GeneID SAS0122		-	3989.21	2.3560000000000003	0.666667	0.666667	245
Staphylococcus aureus GENE esxB		-	3521.68	2.08	0.598425	0.598425	229
Staphylococcus aureus GeneID SAS0115		-	3445.26	2.035	0.529412	0.529412	378
Staphylococcus lentus GI 60416748		-	3403.72	2.01	0.5	0.5	47
Staphylococcus aureus GENE qacC		-	2600.33	1.536	0.527397	0.527397	102
Staphylococcus aureus GENE cap 1521 Branch		-	2482.32	1.466	0.457478	0.457478	175
