Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium dentium	1689		Bacteria	63.029999999999994	0.428571	0.4	8259988	6945233
s__Lactobacillus gasseri GCA_015550315.1	1596	GCA_015550315.1	Bacteria	22	0.990846	0.527778	1972246	2424165
Candida albicans SC5314	237561	GCA_000182965.3	Fungi	14.29	0.808113	0.805925	690535	1574605
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	0.3	0.601937	0.600168	37774	33057
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	0.28	0.901269	0.901269	43874	30853
s__Winkia sp002849225 GCA_002849225.1	2066054	GCA_002849225.1	Bacteria	0.02	0.116155	0.100146	2387	2204
Melampsora pinitorqua Mpini7	1298852	GCA_000464645.1	Fungi	0.01	0.004984	0.005077	1534	1102
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.01	0.018547	0.017294	690	1102
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.01	0.029733	0.029686	531	1102
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	0.01	0.033037	0.023028	1174	1102
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	0.01	0.023641	0.014349	903	1102
s__Prevotella disiens GCA_000613345.1	1235811	GCA_000613345.1	Bacteria	0.01	0.032848	0.032859	690	1102
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	Bacteria	0.01	0.050382	0.015043	477	1102
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	Bacteria	0.01	0.030934	0.041436	3641	1102
g__Bradyrhizobium	374		Bacteria	0.01	0.051543	0.028436	2488	1102
