Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetales	2037	26.830000000000002	478337	664603
Enterobacterales	91347	17.400000000000002	757080	431014
Flavobacteriales	200644	14.14	378589	350261
Bacillales_D	1385	12.92	281392	320040
Lactobacillales	186826	11.59	225598	287096
Propionibacteriales	85009	4.34	81089	107506
Bacteroidales	171549	3.9199999999999995	92315	97102
Tissierellales	1737405	2.9299999999999993	46781	72581
Lachnospirales	186802	1.4500000000000004	42932	35916
Mycobacteriales	85010	1.25	25967	30964
Staphylococcales	1385	1.08	21294	26753
Campylobacterales	213849	0.81	11912	20065
Oscillospirales	186802	0.51	12944	12634
Veillonellales	1843489	0.32000000000000006	3649	7926
Coriobacteriales	84999	0.30000000000000004	6093	7431
Burkholderiales	80840	0.13	6413	3220
Rhizobiales	356	0.07	3776	1734
Acidaminococcales	1843488	0.03	620	743
UBA1381	186801	0.01	314	248
