Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Enterococcus faecium GI 21886745		-	207391.27	14.454	1	0.948553	2244
Parabacteroides distasonis GI 32395281		-	104245.89	7.265000000000001	1	1	1778
Bacteroides fragilis GENE tetQ		-	100458.4	7.001	1	1	36004
Parabacteroides distasonis GI 32395282		-	89194.84	6.216	0.826087	0.826087	5352
Bacteroides vulgatus GI 33413459		-	87560.67	6.101999999999999	1	1	5344
Bacteroides fragilis GENE rteA		-	69349.92	4.833	1	1	30812
Bacteroides fragilis GI 46242810		-	61449.02	4.283	1	1	3747
Bacteroides fragilis GENE int		-	58580.3	4.083	1	1	11256
Bacteroides fragilis GENE bmhA		-	58292.58	4.063	0.998941	0.998941	26979
Bacteroides fragilis GENE exc		-	52701.02	3.673	1	1	19730
Bacteroides fragilis GI 46242807		-	49083.16	3.421	1	1	12762
Bacteroides fragilis GI 46242808		-	48958.43	3.412	1	1	4138
Bacteroides fragilis GI 46242811		-	46951.22	3.272	1	1	2375
Klebsiella pneumoniae GENE tnpA		-	46403	3.234	1	1	5763
Bacteroides fragilis GENE rteB		-	46309.84	3.227	1	1	11184
Bacteroides fragilis GI 46242805		-	46250.02	3.2230000000000003	1	1	5247
Bacteroides fragilis GI 46242809		-	40657.65	2.834	1	1	3130
Bacteroides fragilis GENE rhuM		-	31807.91	2.217	1	1	1987
Bacteroides fragilis GI 46242799		-	31448.44	2.1919999999999997	0.541176	0.541176	3518
Escherichia coli GENE aphA7		-	26703.38	1.8610000000000002	0.95	0.95	4645
Proteus mirabilis GENE tnpA		-	22286.97	1.553	1	1	388
Bacteroides fragilis GENE mobA		-	22052.99	1.537	0.530201	0.530201	2229
Enterococcus faecium GENE ermB		-	15146.17	1.056	0.948718	0.948718	2535
Proteus mirabilis GENE sul1		-	14324.9	0.9979999999999999	1	1	613
Vibrio cholerae GENE intI1		-	9660.44	0.673	1	1	116
Enterococcus faecalis GI 48190		-	9308.62	0.649	0.421553	0.421553	3155
Klebsiella pneumoniae GI 42543951		-	8241.87	0.5740000000000001	1	1	64
Staphylococcus aureus GI 33390919		-	6392.32	0.445	0.658291	0.75	591
Enterococcus faecium GENE aadE		-	5375.93	0.375	0.764873	0.764873	506
Pseudomonas aeruginosa GENE intI1		-	4905.62	0.34199999999999997	0.6	0.6	167
Enterococcus faecium GI 21886751		-	4646.32	0.32399999999999995	0.647696	0.647696	498
Staphylococcus lentus GENE ermC		-	3631.41	0.253	0.528529	0.528529	376
Streptococcus pyogenes GI 52345271		-	2117.32	0.148	0.45977	0.45977	80
Staphylococcus aureus GI 33390947		-	1676.07	0.117	0.451613	0.451613	29
Staphylococcus lentus GI 60416748		-	1318.34	0.092	0.5	0.5	12
