Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	28936.6	2.893660042334244
PF00528	Binding-protein-dependent transport system inner membrane component	23985.1	2.3985100350901996
PF07690	Major Facilitator Superfamily	13108.3	1.310830019177442
PF00356	Bacterial regulatory proteins, lacI family	12349.2	1.234920018066879
PF00072	Response regulator receiver domain	7113.41	0.7113410104069183
PF00440	Bacterial regulatory proteins, tetR family	5757.07	0.575707008422593
PF00664	ABC transporter transmembrane region	5339.71	0.5339710078119955
PF00271	Helicase conserved C-terminal domain	4928.49	0.49284900721038055
PF00128	Alpha amylase, catalytic domain	4918.81	0.4918810071962188
PF02687	FtsX-like permease family	4549.96	0.45499600665659123
PF13416	Bacterial extracellular solute-binding protein	4352.28	0.43522800636738534
PF13520	Amino acid permease	3889.22	0.38892200568992863
PF01381	Helix-turn-helix	3785.67	0.378567005538435
PF00933	Glycosyl hydrolase family 3 N terminal domain	3596.93	0.35969300526230835
PF01915	Glycosyl hydrolase family 3 C-terminal domain	3540.57	0.3540570051798537
PF04616	Glycosyl hydrolases family 43	3526.82	0.35268200515973747
PF00300	Histidine phosphatase superfamily (branch 1)	3476.27	0.3476270050857828
PF00293	NUDIX domain	3471.71	0.3471710050791115
PF00480	ROK family	3465.87	0.3465870050705676
PF00589	Phage integrase family	3448.28	0.34482800504483346
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3421.81	0.3421810050061078
PF00497	Bacterial extracellular solute-binding proteins, family 3	3348.67	0.33486700489910404
PF00392	Bacterial regulatory proteins, gntR family	3287.51	0.32875100480962693
PF00746	LPXTG cell wall anchor motif	3253.15	0.32531500475935826
PF04203	Sortase domain	3201.9	0.3201900046843795
PF14310	Fibronectin type III-like domain	3190.19	0.3190190046672478
PF00270	DEAD/DEAH box helicase	3172.12	0.31721200464081134
PF01547	Bacterial extracellular solute-binding protein	3156.89	0.31568900461852983
PF00535	Glycosyl transferase family 2	3152.85	0.3152850046126194
PF00156	Phosphoribosyl transferase domain	2939.79	0.2939790043009126
PF00155	Aminotransferase class I and II	2888.17	0.2888170042253925
PF00248	Aldo/keto reductase family	2768.4	0.27684000405016906
PF08245	Mur ligase middle domain	2745.62	0.2745620040168419
PF00324	Amino acid permease	2744.53	0.27445300401524725
PF02378	Phosphotransferase system, EIIC	2732.7	0.27327000399793994
PF04397	LytTr DNA-binding domain	2694.84	0.26948400394255073
PF13472	GDSL-like Lipase/Acylhydrolase family	2628.02	0.26280200384479313
PF00009	Elongation factor Tu GTP binding domain	2581.82	0.2581820037772025
PF00069	Protein kinase domain	2482.43	0.24824300363179494
PF13411	MerR HTH family regulatory protein	2474.02	0.2474020036194911
PF01055	Glycosyl hydrolases family 31	2458.86	0.24588600359731205
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family	2412.65	0.24126500352970678
PF00004	ATPase family associated with various cellular activities (AAA)	2388.85	0.23888500349488737
PF12833	Helix-turn-helix domain	2379.14	0.23791400348068167
