Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium longum GCA_902167545.1	1679	97.71	11911394	11960797
Allobacillus halotolerans GCA_007559355.1	1955271	0.43	55882	52637
Imtechella halotolerans GCA_000260835.1	946077	0.4099999999999999	65059	50189
Enterococcus faecalis GCA_002944575.1	1351	0.39	55545	47740
Veillonella atypica GCA_002959915.1	1128111	0.36	37142	44068
Enterococcus_A raffinosus GCA_001886185.1	71452	0.15	31239	18362
Staphylococcus epidermidis	1282	0.13	14904	15913
Propionimicrobium lymphophilum GCA_000510445.1	1111131	0.07	7259	8569
Actinobaculum massiliense GCA_000315465.1	883066	0.05	4730	6121
Staphylococcus hominis GCA_001809205.1	1715041	0.04	4015	4896
Bradyrhizobium sp003020075 GCA_000465325.1	1230476	0.04	16432	4896
Allobacillus salarius GCA_007559425.1	1955272	0.02	2013	2448
Haemophilus_D sp001679485 GCA_001679485.1	1859695	0.02	2041	2448
Haemophilus_D parainfluenzae_L	862965	0.02	1697	2448
Haemophilus_D parainfluenzae_M GCA_001814055.1	1739452	0.02	2078	2448
Haemophilus_D sp001815355 GCA_001815355.1	1739522	0.02	1629	2448
Bradyrhizobium viridifuturi GCA_002289535.1	418599	0.02	9919	2448
Varibaculum cambriense GCA_000420065.1	1123488	0.01	1272	1224
Cutibacterium avidum	33010	0.01	773	1224
Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	0.01	1229	1224
Corynebacterium tuberculostearicum GCA_000156615.2	525264	0.01	812	1224
Klebsiella pneumoniae GCA_000822665.1	573	0.01	2310	1224
Proteus mirabilis GCA_000313255.1	1245027	0.01	1760	1224
Haemophilus_D parainfluenzae_A GCA_000210895.1	862965	0.01	1108	1224
Haemophilus_D parainfluenzae GCA_000191405.1	888828	0.01	790	1224
Haemophilus_D sp927911595 GCA_001810345.1	1715211	0.01	1174	1224
Haemophilus_D sp015255025 GCA_001838635.1	1608898	0.01	684	1224
Bradyrhizobium sp002532045 GCA_002532045.1	142585	0.01	6229	1224
