Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.13.3	Histidine kinase	21260	2.1259999528028
3.6.4.12	DNA helicase	14768.9	1.4768899672130418
2.7.7.7	DNA-directed DNA polymerase	13944.2	1.3944199690438759
5.2.1.8	Peptidylprolyl isomerase	11267	1.12669997498726
2.7.7.6	DNA-directed RNA polymerase	7556.48	0.7556479832246144
7.2.1.1	NADH:ubiquinone reductase (Na(+)-transporting)	7210.17	0.7210169839934225
1.17.4.1	Ribonucleoside-diphosphate reductase	7128.91	0.7128909841738198
5.99.1.3	Transferred entry 5.6.2.2	6096.18	0.6096179864664804
1.11.1.15	Peroxiredoxin	6078.95	0.607894986504731
6.1.1.20	Phenylalanine--tRNA ligase	5179.75	0.5179749885009549
1.15.1.1	Superoxide dismutase	4977.3	0.49772998895039394
3.1.26.4	Ribonuclease H	4665.76	0.46657598964201275
2.1.3.15	Acetyl-CoA carboxytransferase	4228.16	0.42281599061348474
6.3.4.2	CTP synthase (glutamine hydrolyzing)	4222.4	0.42223999062627193
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	4091.17	0.40911699091760256
3.1.22.4	Crossover junction endodeoxyribonuclease	4042.98	0.40429799102458436
3.5.4.16	GTP cyclohydrolase I	4035.38	0.4035379910414564
3.4.21.92	Endopeptidase Clp	3995.47	0.39954699113005654
1.8.1.4	Dihydrolipoyl dehydrogenase	3953.21	0.39532099122387376
2.8.1.7	Cysteine desulfurase	3949.94	0.3949939912311332
3.2.1.23	Beta-galactosidase	3892.22	0.38922199135927155
4.2.1.11	Phosphopyruvate hydratase	3733.9	0.37338999171074194
1.8.4.12	Peptide-methionine (R)-S-oxide reductase	3663.27	0.36632699186754053
3.1.26.5	Ribonuclease P	3640.28	0.3640279919185784
2.3.1.180	Beta-ketoacyl-[acyl-carrier-protein] synthase III	3571.95	0.35719499207027094
3.6.1.1	Inorganic diphosphatase	3562.92	0.3562919920903176
1.5.1.5	Methylenetetrahydrofolate dehydrogenase (NADP(+))	3488.17	0.34881699225626256
3.5.4.9	Methenyltetrahydrofolate cyclohydrolase	3488.17	0.34881699225626256
6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	3461.71	0.34617099231500376
6.1.1.2	Tryptophan--tRNA ligase	3394.06	0.33940599246518677
2.4.2.7	Adenine phosphoribosyltransferase	3392.62	0.33926199246838357
2.4.1.129	Peptidoglycan glycosyltransferase	3340.55	0.33405499258397897
1.18.1.2	Ferredoxin--NADP(+) reductase	3336.78	0.33367799259234837
2.4.2.9	Uracil phosphoribosyltransferase	3307.67	0.33076699265697257
3.4.23.36	Signal peptidase II	3275.76	0.3275759927278128
6.3.4.19	tRNA(Ile)-lysidine synthetase	3251.09	0.3251089927825802
4.3.2.10	Imidazole glycerol-phosphate synthase	3235.91	0.32359099281627973
6.1.1.14	Glycine--tRNA ligase	3220.42	0.32204199285066754
1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	3196.79	0.3196789929031262
2.7.7.85	Diadenylate cyclase	3162.39	0.31623899297949415
6.2.1.5	Succinate--CoA ligase (ADP-forming)	3156.92	0.3156919929916376
4.2.1.1	Carbonic anhydrase	3146.14	0.3146139930155692
6.3.4.4	Adenylosuccinate synthase	3139.43	0.31394299303046536
6.1.1.4	Leucine--tRNA ligase	3119.27	0.3119269930752206
2.7.7.4	Sulfate adenylyltransferase	3104.63	0.3104629931077214
6.3.1.5	NAD(+) synthase	3102.41	0.31024099311264974
3.5.1.88	Peptide deformylase	3074.95	0.30749499317361095
6.1.1.16	Cysteine--tRNA ligase	3064.04	0.3064039931978312
6.3.3.2	5-formyltetrahydrofolate cyclo-ligase	3043.1	0.30430999324431796
4.2.1.20	Tryptophan synthase	3033.2	0.30331999326629594
5.4.2.11	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	3015.07	0.3015069933065446
2.4.2.1	Purine-nucleoside phosphorylase	2995.24	0.2995239933505671
3.4.21.89	Signal peptidase I	2988.97	0.29889699336448655
2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase	2931.11	0.2931109934929358
1.1.1.133	dTDP-4-dehydrorhamnose reductase	2925.38	0.2925379935056564
2.7.6.1	Ribose-phosphate diphosphokinase	2913.02	0.29130199353309555
5.1.1.1	Alanine racemase	2864.88	0.2864879936399664
2.1.1.199	16S rRNA (cytosine(1402)-N(4))-methyltransferase	2860.12	0.28601199365053354
2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase	2856.95	0.28569499365757095
2.7.1.11	6-phosphofructokinase	2845.53	0.28455299368292336
3.2.2.n1	Cytokinin riboside 5'-monophosphate phosphoribohydrolase	2842.28	0.2842279936901384
1.9.3.1	Cytochrome-c oxidase	2840.42	0.2840419936942676
1.6.5.5	NADPH:quinone reductase	2728.38	0.2728379939429964
2.7.1.71	Shikimate kinase	2727.69	0.2727689939445282
2.7.7.72	CCA tRNA nucleotidyltransferase	2706.18	0.27061799399228037
3.1.26.3	Ribonuclease III	2692.15	0.26921499402342697
4.3.2.2	Adenylosuccinate lyase	2681.28	0.2681279940475584
2.6.1.52	Phosphoserine transaminase	2676.9	0.26768999405728194
2.7.7.18	Nicotinate-nucleotide adenylyltransferase	2676.07	0.2676069940591246
6.1.1.22	Asparagine--tRNA ligase	2673.76	0.2673759940642528
4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase	2657.93	0.2657929940993954
3.6.1.23	dUTP diphosphatase	2644.07	0.26440699413016455
3.6.1.27	Undecaprenyl-diphosphate phosphatase	2637.95	0.26379499414375096
6.1.1.10	Methionine--tRNA ligase	2627.83	0.26278299416621737
1.16.3.2	Bacterial non-heme ferritin	2609.5	0.26094999420690995
6.1.1.19	Arginine--tRNA ligase	2606.66	0.2606659942132148
3.6.1.66	XTP/dITP diphosphatase	2589.2	0.258919994251976
5.3.1.9	Glucose-6-phosphate isomerase	2584.62	0.25846199426214356
1.5.1.3	Dihydrofolate reductase	2575.7	0.25756999428194594
2.7.2.4	Aspartate kinase	2561.45	0.25614499431358095
3.5.4.5	Cytidine deaminase	2561.41	0.25614099431366977
2.5.1.3	Thiamine phosphate synthase	2556.15	0.255614994325347
2.3.1.234	N(6)-L-threonylcarbamoyladenine synthase	2553.9	0.255389994330342
6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	2540.31	0.2540309943605118
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	2534.12	0.25341199437425355
4.2.1.10	3-dehydroquinate dehydratase	2521.66	0.25216599440191473
2.7.1.24	Dephospho-CoA kinase	2495.95	0.24959499445899097
1.8.4.11	Peptide-methionine (S)-S-oxide reductase	2491.37	0.24913699446915855
5.4.99.12	tRNA pseudouridine(38-40) synthase	2487.69	0.24876899447732817
6.3.2.1	Pantoate--beta-alanine ligase (AMP-forming)	2459.6	0.24595999453968795
2.7.1.33	Pantothenate kinase	2458.53	0.24585299454206339
2.3.1.179	Beta-ketoacyl-[acyl-carrier-protein] synthase II	2448.22	0.24482199456495154
2.7.1.180	FAD:protein FMN transferase	2447.59	0.2447589945663502
4.3.2.1	Argininosuccinate lyase	2441.36	0.24413599458018076
6.1.1.3	Threonine--tRNA ligase	2438.45	0.24384499458664097
3.6.1.7	Acylphosphatase	2419.72	0.24197199462822155
2.7.1.39	Homoserine kinase	2411.8	0.241179994645804
6.1.1.5	Isoleucine--tRNA ligase	2408.85	0.24088499465235294
6.4.1.2	Acetyl-CoA carboxylase	2406.79	0.24067899465692616
2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase	2402.86	0.2402859946656508
2.7.1.40	Pyruvate kinase	2391.48	0.23914799469091438
2.7.4.8	Guanylate kinase	2391.18	0.23911799469158038
1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring)	2389.57	0.2389569946951546
2.6.1.42	Branched-chain-amino-acid transaminase	2389.38	0.2389379946955764
3.1.11.6	Exodeoxyribonuclease VII	2388.25	0.238824994698085
2.1.1.33	tRNA (guanine(46)-N(7))-methyltransferase	2384.07	0.2384069947073646
3.1.3.3	Phosphoserine phosphatase	2356.02	0.2356019947696356
5.4.99.18	5-(carboxyamino)imidazole ribonucleotide mutase	2348.83	0.23488299478559735
2.1.1.163	Demethylmenaquinone methyltransferase	2347.35	0.234734994788883
5.99.1.2	Transferred entry 5.6.2.1	2331.89	0.23318899482320415
4.2.1.46	dTDP-glucose 4,6-dehydratase	2319.31	0.23193099485113175
2.2.1.2	Transaldolase	2315.96	0.23159599485856877
3.5.99.6	Glucosamine-6-phosphate deaminase	2312.5	0.23124999486624997
2.1.1.198	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	2298.24	0.22982399489790717
2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase	2267.57	0.22675699496599458
2.7.7.3	Pantetheine-phosphate adenylyltransferase	2259.04	0.22590399498493116
2.1.2.9	Methionyl-tRNA formyltransferase	2233.79	0.22337899504098618
4.1.1.31	Phosphoenolpyruvate carboxylase	2222.19	0.2222189950667382
2.4.2.10	Orotate phosphoribosyltransferase	2214.91	0.22149099508289977
4.2.1.33	3-isopropylmalate dehydratase	2214.43	0.22144299508396534
2.1.2.2	Phosphoribosylglycinamide formyltransferase	2200.25	0.220024995115445
2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase	2197.31	0.21973099512197178
2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase	2193.76	0.2193759951298528
3.5.4.10	IMP cyclohydrolase	2193.76	0.2193759951298528
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2190.82	0.2190819951363796
2.7.6.5	GTP diphosphokinase	2178.38	0.21783799516399638
1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme	2175.08	0.21750799517132238
5.1.3.1	Ribulose-phosphate 3-epimerase	2173.35	0.21733499517516294
2.4.2.18	Anthranilate phosphoribosyltransferase	2162.26	0.2162259951997828
3.1.3.11	Fructose-bisphosphatase	2158.65	0.21586499520779698
