Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium breve GCA_001263915.1	1365965	46.26	23479731	30911790
Escherichia coli GCA_904831825.1	562	34.58	34388322	23106997
Bifidobacterium dentium	1689	7.08	3664197	4730987
Lactobacillus jensenii	109790	4.06	1410822	2712967
Imtechella halotolerans GCA_000260835.1	946077	1.24	786680	828591
Allobacillus halotolerans GCA_007559355.1	1955271	1.13	583379	755087
Facklamia hominis GCA_000301035.1	883111	0.64	242098	427660
Prevotella histicola GCA_000613925.1	1236504	0.63	376402	420978
Propionimicrobium lymphophilum GCA_000510445.1	1111131	0.5	210569	334109
Enterococcus faecalis GCA_000159275.1	525278	0.38	209258	253923
Anaerococcus prevotii GCA_000024105.1	525919	0.34	130615	227194
Finegoldia magna GCA_009678325.1	2584649	0.26	96760	173737
Anaerococcus hydrogenalis GCA_000191745.2	879306	0.25	97354	167055
Streptococcus pseudopneumoniae_E GCA_009731465.1	2598453	0.22999999999999998	90013	153690
Finegoldia magna_F GCA_000159695.1	525282	0.21	82160	140326
Actinotignum timonense GCA_002860685.1	1870995	0.2	91665	133644
Winkia sp002849225 GCA_002849225.1	2066054	0.17	77269	113597
Streptococcus sp003428885 GCA_003428885.1	2283190	0.13	48747	86868
Corynebacterium tuberculostearicum GCA_000156615.2	525264	0.12	62257	80186
Peptoniphilus_A harei GCA_001815405.1	1739525	0.12	44993	80186
Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	0.11	51986	73504
Anaerococcus sp900258475 GCA_900258475.1	2057799	0.11	50335	73504
Staphylococcus hominis GCA_900109865.1	1566296	0.08	35861	53457
Prevotella timonensis GCA_000455445.1	1122992	0.07	47512	46775
Finegoldia magna_H GCA_000221585.2	866779	0.07	29632	46775
Anaerococcus marasmi GCA_900290195.1	2057797	0.07	30473	46775
Ezakiella coagulans GCA_003096635.1	46507	0.07	24135	46775
Varibaculum cambriense GCA_000420065.1	1123488	0.05	21383	33411
Lactobacillus gasseri GCA_015550315.1	1596	0.04	12832	26729
Streptococcus mitis GCA_000506765.1	1415766	0.04	13573	26729
Falseniella ignava GCA_000301055.1	883112	0.04	14477	26729
Allobacillus salarius GCA_007559425.1	1955272	0.04	20356	26729
Prevotella timonensis_A GCA_000762405.1	1401062	0.04	24526	26729
Porphyromonas_A somerae GCA_000372405.1	1122975	0.04	20159	26729
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.04	13541	26729
Urinicoccus timonensis GCA_900232945.1	2024205	0.04	14675	26729
Actinotignum sanguinis GCA_003957255.1	1445614	0.03	12937	20047
Gleimia urinae GCA_900119695.1	1689268	0.03	12271	20047
Staphylococcus epidermidis	1282	0.03	15790	20047
Negativicoccus succinicivorans GCA_000508525.1	1403945	0.03	6580	20047
Actinotignum schaalii_A GCA_000411135.1	883067	0.02	8588	13364
Pauljensenia radingae_A GCA_001457875.1	1673722	0.02	8835	13364
Corynebacterium pyruviciproducens GCA_000411375.1	1125779	0.02	12280	13364
Streptococcus pasteurianus GCA_000146405.1	864569	0.02	7238	13364
Streptococcus mitis_AP GCA_000220045.2	1008452	0.02	7450	13364
Staphylococcus haemolyticus GCA_000261465.1	1134914	0.02	10865	13364
Prevotella buccalis GCA_000177075.1	679190	0.02	13877	13364
Campylobacter_B ureolyticus GCA_000597825.1	827	0.02	5084	13364
Anaerococcus senegalensis GCA_000321005.2	1033733	0.02	6109	13364
Anaerococcus jeddahensis GCA_001182725.1	1673719	0.02	8194	13364
Anaerococcus octavius GCA_002847745.1	54007	0.02	6131	13364
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.02	6471	13364
Corynebacterium amycolatum_A	43765	0.01	3118	6682
Corynebacterium amycolatum GCA_008042235.1	2022657	0.01	5369	6682
Aerococcus urinae_D GCA_001809895.1	1715159	0.01	5934	6682
Aerococcus urinae_A GCA_000193205.1	2976812	0.01	2220	6682
Staphylococcus pettenkoferi GCA_000260275.1	904314	0.01	5264	6682
Staphylococcus aureus GCA_013371405.1	1280	0.01	4755	6682
Enterobacter kobei GCA_000492995.1	1329829	0.01	5922	6682
Prevotella sp000163055 GCA_000163055.2	575614	0.01	6040	6682
Prevotella sp900547085 GCA_900547085.1	159272	0.01	2303	6682
Porphyromonas_A bennonis GCA_000375645.1	1122971	0.01	2961	6682
Campylobacter_B ureolyticus_A GCA_000413435.1	883165	0.01	2632	6682
Anaerococcus vaginalis GCA_001812365.1	1739356	0.01	2961	6682
Anaerococcus vaginimassiliensis GCA_000191725.2	879305	0.01	2407	6682
Anaerococcus provencensis GCA_000312365.2	938293	0.01	3073	6682
Anaerococcus lactolyticus GCA_000156575.1	525254	0.01	2747	6682
Anaerococcus mediterraneensis GCA_900128415.1	1870984	0.01	2165	6682
Peptoniphilus_A vaginalis GCA_900176605.1	1756987	0.01	2859	6682
Peptoniphilus_A grossensis GCA_000311825.1	1118057	0.01	2654	6682
Urinicoccus massiliensis GCA_900120405.1	1723382	0.01	3509	6682
Peptoniphilus_C coxii GCA_001553115.1	755172	0.01	3672	6682
Peptoniphilus_E obesi GCA_000311865.1	1118062	0.01	1842	6682
