Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium	1678	58.14	11755157	11521190
Actinotignum	1653174	18.79	3141861	3723481
Prevotella	838	5.41	1392483	1072060
Lactobacillus	1578	2.83	493306	560801
Corynebacterium	1716	2.6	548434	515223
Finegoldia	150022	2.2600000000000002	331759	447848
Winkia	2692118	2.26	404411	447848
Staphylococcus	1279	1.5499999999999998	279118	307152
Peptoniphilus_A	162289	1.27	189327	251667
Anaerococcus	165779	1.24	193384	245722
Escherichia	561	0.78	316948	154567
Varibaculum	184869	0.7	118182	138714
Bradyrhizobium	374	0.5499999999999999	379707	108991
Aerococcus	1375	0.28	46735	55485
Dialister	39948	0.22999999999999998	23077	45577
Propionimicrobium	203133	0.17	28730	33688
Imtechella	1165076	0.15	36923	29724
Allobacillus	1400133	0.14	28503	27743
Pauljensenia	2740557	0.08	15510	15853
Peptoniphilus_C	162289	0.08	11300	15853
Cutibacterium	1912216	0.060000000000000005	12576	11890
Facklamia	66831	0.06	9942	11890
Eggerthella	84111	0.05	16153	9908
Porphyromonas	836	0.04	8187	7927
Peptoniphilus_B	162289	0.04	6254	7927
Campylobacter_B	194	0.03	4791	5945
Alloscardovia	419014	0.02	3596	3963
Streptococcus	1301	0.02	1986	3964
Staphylococcaceae_u_g	90964	0.02	4082	3963
Klebsiella	570	0.02	4738	3963
Urinicoccus	2024199	0.02	3458	3963
Limosilactobacillus	2742598	0.01	923	1982
Porphyromonas_A	836	0.01	836	1982
Acinetobacter	469	0.01	2074	1982
Peptoniphilus_E	162289	0.01	915	1982
Negativicoccus	909928	0.01	923	1982
