Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Staphylococcus epidermidis	1282	50.519999999999996	3307524	2971711
Lactobacillus iners	147802	18.85	666618	1108804
Lactobacillus crispatus	47770	17.51	1050766	1029981
Propionimicrobium lymphophilum	33012	2.82	180455	165879
Streptococcus anginosus	1328	2.54	137412	149409
Varibaculum massiliense	1852372	1.32	84792	77646
Prevotella timonensis	386414	1.19	107201	69999
Prevotella timonensis_A	386414	0.72	63677	42352
Prevotella colorans	1703337	0.49	39684	28823
Finegoldia magna_H	1260	0.42	22218	24705
Staphylococcus aureus	1280	0.34	23700	20000
Peptoniphilus_A harei_A	54005	0.34	17333	20000
Anaerococcus vaginalis_B	33037	0.29	16093	17059
Vaginimicrobium propionicum	1871034	0.22999999999999998	13224	13529
Actinotignum sanguinis	1445614	0.21	12081	12353
Allobacillus halotolerans	570278	0.2	14115	11764
Porphyromonas uenonis_A	281920	0.2	11884	11764
Imtechella halotolerans	1165090	0.19	16908	11176
Peptoniphilus_C coxii	755172	0.18	9397	10588
Prevotella buccalis	28127	0.09	7973	5294
Prevotella sp000758925	1284775	0.08	6327	4706
Campylobacter_B ureolyticus	827	0.07	3447	4118
Peptoniphilus_A lacrimalis	33031	0.07	3372	4118
Varibaculum cambriense	184870	0.07	4075	4118
Prevotella bivia	28125	0.06	4413	3529
Varibaculum timonense_A	1870994	0.06	3593	3529
Corynebacterium pyruviciproducens	598660	0.06	4528	3529
Prevotella sp000479005	28127	0.05	4265	2941
Finegoldia magna	1260	0.05	2354	2941
Peptoniphilus_A vaginalis	54005	0.05	2776	2941
Actinotignum schaalii_A	59505	0.05	2935	2941
Atopobium deltae	1393034	0.05	1973	2941
Prevotella sp900547085	838	0.04	2289	2353
Campylobacter_B ureolyticus_A	827	0.04	1741	2353
Finegoldia magna_F	1260	0.04	2243	2353
Urinicoccus massiliensis	1723382	0.04	2293	2353
Aerococcus urinae_A	1376	0.03	1692	1765
Prevotella sp001552765	1497954	0.03	2912	1765
Porphyromonas uenonis	281920	0.03	2188	1765
Anaerococcus sp900258475	77133	0.03	1883	1765
Peptoniphilus_A harei	54005	0.03	1461	1765
Varibaculum cambriense_A	184870	0.03	2109	1765
Mobiluncus curtisii	2051	0.03	1557	1765
Dialister micraerophilus	309120	0.03	1007	1765
Dialister sp001553355	1588754	0.03	1399	1765
Falseniella ignava	137730	0.02	1125	1176
Anaerococcus jeddahensis	1673719	0.02	871	1176
Anaerococcus lactolyticus	33032	0.02	1061	1176
Peptoniphilus_A grossensis	1465756	0.02	1060	1176
Peptoniphilus_B sp000478985	507751	0.02	1156	1176
Varibaculum vaginae	2364797	0.02	1387	1176
Pauljensenia radingae_A	1673722	0.02	1567	1176
Porphyromonas asaccharolytica	28123	0.01	361	588
Porphyromonas_A somerae	322095	0.01	321	588
Porphyromonas_A bennonis	501496	0.01	288	588
Fenollaria_u_s	1686313	0.01	309	588
Winkia sp002849225	29318	0.01	484	588
Veillonella atypica	39777	0.01	370	588
