Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinotignum	1653174	23.37	414335	578897
Escherichia	561	17.37	756059	430271
Imtechella	1165076	14.14	378589	350261
Allobacillus	1400133	12.92	281392	320040
Aerococcus	1375	5.42	97742	134259
Enterococcus	1350	4.52	102968	111965
Propionimicrobium	203133	3.25	57225	80506
Prevotella	838	2.8299999999999996	68186	70102
Bifidobacterium	1678	2.1399999999999997	40550	53010
Peptoniphilus_A	162289	1.4400000000000002	22617	35671
Corynebacterium	1716	1.25	25967	30964
Cutibacterium	1912216	1.09	23864	27000
Staphylococcus	1279	1.08	21294	26753
Falseniella	2862142	1.04	15277	25762
Campylobacter_B	194	0.81	11912	20065
Porphyromonas	836	0.72	13195	17835
Pauljensenia	2740557	0.56	9444	13872
Anaerococcus	165779	0.49000000000000005	8404	12138
Facklamia	66831	0.49	7564	12138
Faecalibacterium	216851	0.45000000000000007	11256	11148
Blautia_A	572511	0.44000000000000006	14184	10899
Peptoniphilus_C	162289	0.35	5530	8670
Varibaculum	184869	0.32999999999999996	5941	8174
Finegoldia	150022	0.29	4740	7184
Winkia	2692118	0.28	5563	6935
Collinsella	102106	0.28	5438	6936
Dialister	39948	0.27	2852	6688
Fusicatenibacter	1407607	0.25	7834	6193
Ezakiella	1582879	0.22999999999999998	3283	5698
Porphyromonas_A	836	0.21	4181	5202
Agathobacter	1766253	0.15	4391	3715
Gleimia	2692113	0.15	2504	3715
Anaerostipes	207244	0.13	3119	3220
Dorea_A	2005359	0.13	3391	3220
Oliverpabstia	2815777	0.13	4011	3220
Streptococcus	1301	0.1	1710	2477
Urinicoccus	2024199	0.1	1770	2477
Phocaeicola	909656	0.1	4377	2477
Anaerobutyricum	2569097	0.07	1665	1734
Comamonas	283	0.07	3844	1734
Lachnospira	28050	0.06	1440	1486
Gemmiger	204475	0.06	1688	1486
Ralstonia	48736	0.06	2569	1486
Bacteroides	816	0.04	1577	990
Bradyrhizobium	374	0.04	2640	991
Mediterraneibacter	2316020	0.03	946	743
Eisenbergiella	1432051	0.03	870	743
Peptoniphilus_E	162289	0.03	437	743
Salmonella	590	0.03	1021	743
Veillonella	29465	0.03	620	743
Phascolarctobacterium	33024	0.03	620	743
Weissella	46255	0.02	337	495
Roseburia	841	0.02	728	495
Methylobacterium	407	0.02	746	495
Eggerthella	84111	0.02	655	495
Negativicoccus	909928	0.02	177	495
Eubacterium_I	1730	0.01	353	248
CAG-41	2039302	0.01	314	248
Paraprevotella	577309	0.01	409	248
Parabacteroides	375288	0.01	390	248
Agrobacterium	357	0.01	390	248
