Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Staphylococcaceae	90964	50.86	3331224	2991711
Lactobacillaceae	33958	36.36	1717384	2138785
Propionibacteriaceae	31957	3.05	193679	179408
Bacteroidaceae	815	2.75	238741	161762
Streptococcaceae	1300	2.54	137412	149409
Actinomycetaceae	2049	1.8200000000000003	114580	107057
Peptoniphilaceae	1570339	1.6300000000000003	85880	95880
Porphyromonadaceae	171551	0.26	15042	15293
Alkalibacillaceae	186817	0.2	14115	11764
Flavobacteriaceae	49546	0.19	16908	11176
Campylobacteraceae	72294	0.11000000000000001	5188	6471
Mycobacteriaceae	1762	0.06	4528	3529
Dialisteraceae	31977	0.06	2406	3530
Aerococcaceae	186827	0.05	2817	2941
Atopobiaceae	1643824	0.05	1973	2941
Veillonellaceae	31977	0.01	370	588
