Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetales	2037	53.86000000000001	27376876	35990251
Enterobacterales	91347	34.589999999999996	34394244	23113679
Lactobacillales	186826	5.619999999999997	2064662	3755387
Tissierellales	1737405	1.7600000000000005	669467	1176061
Flavobacteriales	200644	1.24	786680	828591
Bacillales_D	1385	1.17	603735	781816
Bacteroidales	171549	0.8300000000000001	493780	554621
Propionibacteriales	85009	0.5	210569	334109
Mycobacteriales	85010	0.27	135010	180418
Staphylococcales	1385	0.15000000000000002	72535	100232
Campylobacterales	213849	0.03	7716	20046
Veillonellales	1843489	0.03	6580	20047
