ID	Name	Copies per Million (CPM)	Relative Abundance
PWY-7238	sucrose biosynthesis II	23348.4	2.334840051132998
PWY-5941	glycogen degradation II	16804.1	1.6804100368009802
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	14688.3	1.4688300321673782
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	13863	1.386300030359971
PWY-8178	pentose phosphate pathway (non-oxidative branch) II	10348.3	1.0348300226627778
PWY-7013	(S)-propane-1,2-diol degradation	9697.89	0.9697890212383797
PWY-7977	L-methionine biosynthesis IV	9694.54	0.9694540212310434
PWY0-1477	ethanolamine utilization	9591.48	0.9591480210053418
CALVIN-PWY	Calvin-Benson-Bassham cycle	8678.21	0.8678210190052805
VALSYN-PWY	L-valine biosynthesis	8365.09	0.8365090183195478
PWY-7111	pyruvate fermentation to isobutanol (engineered)	8343.57	0.8343570182724189
PWY-5136	fatty acid β-oxidation II (plant peroxisome)	8161.76	0.8161760178742551
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	7968.92	0.7968920174519355
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	7899.27	0.789927017299402
PWY-1042	glycolysis IV	7649.52	0.7649520167524494
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	7636.87	0.7636870167247458
FAO-PWY	fatty acid β-oxidation I (generic)	7472.43	0.7472430163646223
PWY-5103	L-isoleucine biosynthesis III	7180.99	0.7180990157263687
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	6986.06	0.698606015299472
PWY-5913	partial TCA cycle (obligate autotrophs)	6914.32	0.6914320151423613
PENTOSE-P-PWY	pentose phosphate pathway	6835.08	0.6835080149688257
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	6786.91	0.6786910148633334
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	6768.38	0.6768380148227527
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	6644.57	0.6644570145516088
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	6617.19	0.6617190144916465
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	6617.19	0.6617190144916465
