Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	20617.1	2.061710114257914
PF03466	LysR substrate binding domain	13982.3	1.3982300774885132
PF07690	Major Facilitator Superfamily	13568	1.3568000751925042
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	11125.7	1.112570061657521
PF00528	Binding-protein-dependent transport system inner membrane component	9765.54	0.9765540541196497
PF00873	AcrB/AcrD/AcrF family	6000.84	0.6000840332560574
PF02653	Branched-chain amino acid transport system / permease component	5779.35	0.5779350320285819
PF12833	Helix-turn-helix domain	5276.35	0.527635029241006
PF00072	Response regulator receiver domain	5163.54	0.5163540286158242
PF00171	Aldehyde dehydrogenase family	4896.25	0.48962502713452966
PF00155	Aminotransferase class I and II	4157.43	0.41574302304006283
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3892.2	0.3892200215701846
PF02378	Phosphotransferase system, EIIC	3848.13	0.3848130213259531
PF00392	Bacterial regulatory proteins, gntR family	3777.56	0.37775602093486116
PF00497	Bacterial extracellular solute-binding proteins, family 3	3723.95	0.3723950206377598
PF00324	Amino acid permease	3723.81	0.372381020636984
PF00356	Bacterial regulatory proteins, lacI family	3579.97	0.357997019839837
PF00892	EamA-like transporter family	3571	0.35710001979012623
PF00106	short chain dehydrogenase	3469.12	0.34691201922551734
PF13407	Periplasmic binding protein domain	3114.42	0.3114420172598053
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	2951.67	0.2951670163578611
PF00343	Carbohydrate phosphorylase	2917.97	0.291797016171099
PF00486	Transcriptional regulatory protein, C terminal	2909.15	0.2909150161222195
PF00512	His Kinase A (phospho-acceptor) domain	2802.29	0.280229015530012
PF00294	pfkB family carbohydrate kinase	2795.11	0.2795110154902211
PF00202	Aminotransferase class-III	2763.78	0.2763780153165934
PF00196	Bacterial regulatory proteins, luxR family	2663.8	0.2663800147625142
PF00083	Sugar (and other) transporter	2649.68	0.26496801468426256
PF00455	DeoR C terminal sensor domain	2633.43	0.26334301459420667
PF00384	Molybdopterin oxidoreductase	2630.8	0.2630800145796315
PF00577	Outer membrane usher protein	2577	0.25770001428147726
PF00248	Aldo/keto reductase family	2574.18	0.25741801426584904
PF07992	Pyridine nucleotide-disulphide oxidoreductase	2544.85	0.2544850141033051
PF00232	Glycosyl hydrolase family 1	2518.02	0.25180201395461593
PF00583	Acetyltransferase (GNAT) family	2517.77	0.2517770139532305
PF00990	Diguanylate cyclase, GGDEF domain	2515.49	0.2515490139405949
PF00465	Iron-containing alcohol dehydrogenase	2469.22	0.2469220136841712
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family	2371.03	0.23710301314001206
PF07338	Protein of unknown function (DUF1471)	2361.79	0.23617901308880485
