Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Lactobacillus delbrueckii GCA_005864125.1	29397	GCA_005864125.1	Bacteria	25.569999999999997	0.704969	0.26921	508549	628441
s__Enterococcus faecalis GCA_902163855.1	1351	GCA_902163855.1	Bacteria	18.79	0.957782	0.809359	516189	461807
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	11.37	0.999761	0.999761	369644	279444
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	10.28	0.661195	0.659395	271742	252654
s__Lactobacillus paragasseri GCA_002884735.1	1596	GCA_002884735.1	Bacteria	9.31	0.981301	0.906456	182324	228814
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	4.35	0.47384	0.24953	82194	106911
s__Escherichia coli GCA_013085205.1	562	GCA_013085205.1	Bacteria	2.37	0.550793	0.523179	112835	58248
s__Staphylococcus epidermidis GCA_000276385.1	979207	GCA_000276385.1	Bacteria	1.8900000000000001	0.933847	0.16129	44656	46451
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	Bacteria	1.83	0.308231	0.155851	35872	44976
s__Staphylococcus haemolyticus GCA_001837445.1	1715044	GCA_001837445.1	Bacteria	1.56	0.889826	0.8159	36685	38341
s__Finegoldia magna_H GCA_000179695.1	866773	GCA_000179695.1	Bacteria	1.31	0.469558	0.129799	26467	32196
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	1.13	0.4473	0.408156	21361	27772
s__Limosilactobacillus reuteri GCA_000160715.1	585517	GCA_000160715.1	Bacteria	0.9899999999999999	0.729505	0.635647	20015	24332
s__Staphylococcus simulans GCA_000314755.2	883166	GCA_000314755.2	Bacteria	0.95	0.708961	0.306358	25254	23348
s__Streptococcus oralis_T GCA_000314775.2	999424	GCA_000314775.2	Bacteria	0.51	0.208355	0.121779	10291	12534
s__Negativicoccus succinicivorans GCA_000508525.1	1403945	GCA_000508525.1	Bacteria	0.49	0.364281	0.364281	6536	12043
s__Aerococcus sp001809535 GCA_001836025.1	1715184	GCA_001836025.1	Bacteria	0.42	0.390002	0.162304	9085	10322
s__Anaerococcus senegalensis GCA_000321005.2	1033733	GCA_000321005.2	Bacteria	0.33	0.265669	0.253539	6235	8111
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.32	0.051828	0.01449	8525	7865
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	Bacteria	0.31	0.190869	0.115955	7618	7619
s__Streptococcus oralis_Y GCA_000287715.1	1161421	GCA_000287715.1	Bacteria	0.29	0.134401	0.056687	6061	7127
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	Bacteria	0.29	0.188668	0.115574	7657	7127
s__Staphylococcus aureus GCA_013371405.1	1280	GCA_013371405.1	Bacteria	0.27	0.065923	0.077196	8398	6636
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	0.22	0.1701	0.170068	4053	5407
s__Porphyromonas asaccharolytica GCA_000183605.2	910312	GCA_000183605.2	Bacteria	0.21	0.156952	0.084068	4732	5161
s__Winkia sp002849225 GCA_001807435.1	1581131	GCA_001807435.1	Bacteria	0.21	0.207608	0.071702	4850	5161
s__Streptococcus anginosus GCA_001838575.1	1715113	GCA_001838575.1	Bacteria	0.2	0.206395	0.13563	4000	4915
s__Citrobacter_B koseri GCA_000018045.1	290338	GCA_000018045.1	Bacteria	0.18	0.127038	0.126149	8227	4424
s__Dermabacter hominis GCA_001807345.1	1581125	GCA_001807345.1	Bacteria	0.18	0.085847	0.043268	4136	4424
s__Streptococcus halitosis GCA_003143695.2	2172545	GCA_003143695.2	Bacteria	0.15	0.033433	0.020221	2940	3687
s__Collinsella aerofaciens_I GCA_005845035.1	74426	GCA_005845035.1	Bacteria	0.15	0.024789	0.021122	3588	3687
s__Streptococcus oralis_W GCA_000257845.1	1095738	GCA_000257845.1	Bacteria	0.14	0.024853	0.022489	2714	3441
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	Bacteria	0.14	0.217303	0.163714	2406	3441
s__Streptococcus oralis_G GCA_006228325.1	2576376	GCA_006228325.1	Bacteria	0.13	0.058595	0.059819	2585	3195
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	Bacteria	0.13	0.130693	0.130737	2330	3195
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	Bacteria	0.13	0.093146	0.021852	2665	3195
s__Gemmiger formicilis GCA_900167555.1	745368	GCA_900167555.1	Bacteria	0.11	0.095661	0.094897	3553	2704
s__Gleimia urinae GCA_900119695.1	1689268	GCA_900119695.1	Bacteria	0.11	0.068935	0.059645	2261	2704
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	Bacteria	0.11	0.057686	0.05763	2156	2704
s__Anaerococcus vaginalis GCA_001812365.1	1739356	GCA_001812365.1	Bacteria	0.1	0.209934	0.084517	1907	2458
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	Bacteria	0.1	0.082379	0.078331	4982	2458
s__Streptococcus oralis_F GCA_000442155.1	1333864	GCA_000442155.1	Bacteria	0.09	0.019061	0.012426	1780	2212
s__Anaerococcus obesiensis GCA_000311745.1	1118056	GCA_000311745.1	Bacteria	0.09	0.18208	0.052428	1877	2212
s__Anaerococcus vaginalis_C GCA_001815585.1	1739537	GCA_001815585.1	Bacteria	0.09	0.200551	0.058847	1714	2212
s__Peptostreptococcus anaerobius GCA_000381525.1	1035196	GCA_000381525.1	Bacteria	0.09	0.182546	0.091966	2079	2212
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	Bacteria	0.08	0.07013	0.044717	1566	1966
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.07	0.005629	0.005457	2963	1720
s__Staphylococcus lugdunensis GCA_001812005.1	1739335	GCA_001812005.1	Bacteria	0.07	0.088975	0.092308	1965	1720
f__Staphylococcaceae	90964		Bacteria	0.07	1	1	1854	1720
s__Aerococcus sanguinicola GCA_001543145.1	119206	GCA_001543145.1	Bacteria	0.06	0.110173	0.017588	1221	1475
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.06	0.092897	0.049217	1076	1475
s__Peptoniphilus_A grossensis GCA_000311825.1	1118057	GCA_000311825.1	Bacteria	0.06	0.081671	0.057586	1275	1475
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.06	0.053039	0.03887	1926	1475
s__Bradyrhizobium sp003020075 GCA_003020075.1	2133945	GCA_003020075.1	Bacteria	0.06	0.059802	0.080159	4753	1475
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	Bacteria	0.06	0.046984	0.045837	1466	1475
s__Limosilactobacillus reuteri_E GCA_009389325.1	1598	GCA_009389325.1	Bacteria	0.05	0.033943	0.011719	909	1229
s__Mediterraneibacter torques GCA_000153925.1	411460	GCA_000153925.1	Bacteria	0.05	0.072066	0.072174	1509	1229
s__Anaerococcus hydrogenalis GCA_000191745.2	879306	GCA_000191745.2	Bacteria	0.05	0.054339	0.026288	943	1229
s__Anaerococcus provencensis GCA_000312365.2	938293	GCA_000312365.2	Bacteria	0.05	0.043838	0.038608	1160	1229
s__Peptoniphilus_B sp000478985 GCA_000478985.1	1111134	GCA_000478985.1	Bacteria	0.05	0.021809	0.02186	982	1229
s__Comamonas tsuruhatensis	80866		Bacteria	0.05	0.033779	0.024328	3213	1229
s__Campylobacter_B ureolyticus_A GCA_000413435.1	883165	GCA_000413435.1	Bacteria	0.05	0.107588	0.0407	924	1229
s__Anaerococcus prevotii GCA_000024105.1	525919	GCA_000024105.1	Bacteria	0.04	0.076544	0.068914	733	983
s__Peptoniphilus_E obesi GCA_000311865.1	1118062	GCA_000311865.1	Bacteria	0.04	0.042705	0.041586	728	983
s__Phocaeicola dorei	357276		Bacteria	0.04	0.054517	0.070626	2110	983
s__Comamonas tsuruhatensis GCA_000710145.1	1537702	GCA_000710145.1	Bacteria	0.04	0.061337	0.010391	2694	983
s__Eggerthella lenta GCA_000191845.2	910311	GCA_000191845.2	Bacteria	0.04	0.045813	0.024622	1394	983
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.04	0.029482	0.029434	860	983
s__Kocuria rhizophila GCA_001812045.1	1739337	GCA_001812045.1	Bacteria	0.04	0.044596	0.014558	1103	983
s__Phascolarctobacterium faecium GCA_003269275.1	1122957	GCA_003269275.1	Bacteria	0.04	0.049757	0.028073	1028	983
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	Bacteria	0.03	0.041012	0.022528	624	737
s__Anaerococcus vaginimassiliensis GCA_900626155.1	2042308	GCA_900626155.1	Bacteria	0.03	0.031379	0.023926	494	737
s__Anaerococcus octavius GCA_002847745.1	54007	GCA_002847745.1	Bacteria	0.03	0.094493	0.095568	684	737
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	0.03	0.029855	0.02814	774	737
s__Peptoniphilus_C pacaensis GCA_900088125.1	1776390	GCA_900088125.1	Bacteria	0.03	0.01791	0.017589	606	737
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	Bacteria	0.03	0.042825	0.02268	621	737
s__Bacteroides fragilis GCA_001286525.1	817	GCA_001286525.1	Bacteria	0.03	0.039034	0.018713	1622	737
s__Bacteroides uniformis GCA_019132285.1	820	GCA_019132285.1	Bacteria	0.03	0.034769	0.030395	1622	737
s__Porphyromonas_A sp001808555 GCA_001808555.1	1739394	GCA_001808555.1	Bacteria	0.03	0.025095	0.023701	753	737
s__Pseudomonas_E antarctica_A GCA_001647715.1	219572	GCA_001647715.1	Bacteria	0.03	0.010332	0.009432	1942	737
s__Atopobium deltae GCA_001552785.1	1393034	GCA_001552785.1	Bacteria	0.03	0.029113	0.02902	388	737
s__Kocuria rhizophila	72000		Bacteria	0.03	0.04488	0.012754	713	737
s__Allisonella pneumosinta GCA_001717505.1	39950	GCA_001717505.1	Bacteria	0.03	0.040035	0.040123	343	737
s__Blautia_A obeum	40520		Bacteria	0.02	0.04563	0.04563	777	492
s__Copromonas sp000435795 GCA_014385265.1	2763663	GCA_014385265.1	Bacteria	0.02	0.017663	0.017664	709	492
s__Gemmiger qucibialis GCA_003324125.1	2086273	GCA_003324125.1	Bacteria	0.02	0.013863	0.0119	855	492
s__Anaerococcus urinomassiliensis GCA_900128425.1	1745712	GCA_900128425.1	Bacteria	0.02	0.021431	0.012933	401	492
s__Fenollaria timonensis GCA_001457835.1	1723384	GCA_001457835.1	Bacteria	0.02	0.0197	0.017387	385	492
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	Bacteria	0.02	0.02714	0.012551	471	492
s__Agrobacterium oryzihabitans GCA_000219665.2	1050720	GCA_000219665.2	Bacteria	0.02	0.013836	0.013757	891	492
s__Methylobacterium thiocyanatum GCA_000019945.1	441620	GCA_000019945.1	Bacteria	0.02	0.015847	0.015289	1394	492
s__Gleimia europaea_B GCA_000411155.1	883069	GCA_000411155.1	Bacteria	0.02	0.020515	0.010061	347	492
s__Micrococcus luteus	1270		Bacteria	0.02	0.031596	0.031015	548	492
s__Cutibacterium avidum GCA_000413335.1	1203571	GCA_000413335.1	Bacteria	0.02	0.019083	0.016563	617	492
s__Clostridium_AQ innocuum	1522		Bacteria	0.01	0.012572	0.012429	320	246
s__Blautia_A wexlerae GCA_015668375.1	418240	GCA_015668375.1	Bacteria	0.01	0.01857	0.024746	466	246
s__Blautia_A hydrogenotrophica GCA_000157975.1	476272	GCA_000157975.1	Bacteria	0.01	0.015078	0.015081	337	246
s__Faecalibacterium longum GCA_003293635.1	853	GCA_003293635.1	Bacteria	0.01	0.0113	0.010913	419	246
s__Anaerotruncus colihominis GCA_000154565.1	445972	GCA_000154565.1	Bacteria	0.01	0.015854	0.014901	499	246
s__Porphyromonas_A somerae	322095		Bacteria	0.01	0.009963	0.009963	160	246
