Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Proteus mirabilis GENE tnpA		-	4605529.52	28.119	1	1	48853
Klebsiella pneumoniae GENE ompK36		-	1639890.52	10.012	0.784615	0.784615	284861
Escherichia coli GENE tnpA		-	1639528.26	10.01	0.635968	0.635968	1051231
Klebsiella pneumoniae GENE ompK35		-	1525498.61	9.314	0.813793	0.813793	203115
Shigella flexneri GI 12034667		-	1336449.17	8.16	0.928889	0.928889	142534
Shigella flexneri GI 12034668		-	1211649.95	7.398000000000001	1	1	34528
Shigella flexneri GI 12034665		-	1184660.09	7.2330000000000005	0.783172	0.783172	170624
Klebsiella oxytoca GI 19682875		-	1179728.08	7.202999999999999	0.884058	0.884058	81503
Klebsiella oxytoca GENE fucA		-	986779.57	6.0249999999999995	0.840659	0.840659	89030
Escherichia coli GI 12746380		-	924690.41	5.646	0.579545	0.701613	34624
Staphylococcus aureus GI 1527 Branch		-	141821.89	0.8659999999999999	0.504587	0.504587	65
Enterococcus faecium GI 21886756		-	2474.26	0.015	1	0.531646	6
