Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Escherichia	561	92.72	1470267	1421292
Allobacillus	1400133	2.37	20322	36330
Imtechella	1165076	2.27	23958	34797
Propionimicrobium	203133	0.8100000000000002	5588	12416
Actinotignum	1653174	0.55	3809	8430
Actinobaculum	76833	0.37	2523	5672
Anaerococcus	165779	0.28	1854	4292
Aerococcus	1375	0.27	1843	4138
Varibaculum	184869	0.24	1888	3679
Peptoniphilus_B	162289	0.07	496	1073
Facklamia	66831	0.02	117	307
Peptoniphilus_C	162289	0.02	106	307
Peptoniphilus_A	162289	0.02	115	307
