Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Corynebacterium sp. KPL1856_u_t	1203563	55528.34	21.066	470
Staphylococcus epidermidis AU12-03	1220510	42316.86	16.054	311
Dialister_u_t	39948	29989.53	11.376999999999999	671
Peptoniphilus harei ACS-146-V-Sch2b	908338	14235.36	5.4	251886
Actinomyces neuii BVS029A5	888439	12978.63	4.9239999999999995	347686
Finegoldia magna ATCC 53516	525282	11867.31	4.502	239682
Peptoniphilus grossensis ph5	1118057	9188.64	3.486	189498
Staphylococcus sp. DORA_6_22_u_t	1403935	8485.47	3.2190000000000003	411
Prevotella buccalis ATCC 35310	679190	7627.25	2.894	253396
Anaerococcus senegalensis JC48	1033733	7173.68	2.721	113110
Staphylococcus lugdunensis HKU09-01	698737	4586.48	1.7399999999999998	512
Peptostreptococcus anaerobius VPI 4330 = DSM 2949	1035196	4523.76	1.7160000000000002	26585
Negativicoccus succinicivorans DORA_17_25	1403945	4476.2	1.698	32285
Anaerococcus obesiensis ph10	1118056	4204.25	1.595	39671
Prevotella bergensis DSM 17361	585502	4183.64	1.587	102044
Anaerococcus vaginalis ATCC 51170	655811	3636.1	1.379	31568
Staphylococcus capitis CR01	1296619	3624.52	1.375	3052
Peptoniphilus rhinitidis 1-13	875454	3236.99	1.228	30129
Corynebacterium pseudogenitalium ATCC 33035	525264	2612	0.991	15615
Corynebacterium tuberculostearicum SK141	553206	2560.55	0.971	11710
Staphylococcus aureus	1280	2391.72	0.907	83
Cutibacterium avidum TM16	1292372	2264.06	0.859	666
Tissierellia bacterium S5-A11_u_t	1230730	2205.16	0.8370000000000001	17737
Propionibacterium_u_t	1743	2185.16	0.8290000000000001	31
Streptococcus agalactiae GB00012	1154893	1698.25	0.644	684
Prevotella sp. BV3P1_u_t	1111130	1692.85	0.642	4940
Campylobacter ureolyticus DSM 20703	1121102	1326.74	0.503	8456
Anaerococcus provencensis	938293	1267.21	0.481	19850
Porphyromonas bennonis DSM 23058 = JCM 16335	1122971	1130.76	0.42900000000000005	30772
Anaerococcus hydrogenalis ACS-025-V-Sch4	879306	1094.68	0.415	13182
Varibaculum cambriense DSM 15806	1123488	973	0.369	13774
Corynebacterium striatum ATCC 6940	525268	971.14	0.368	39134
Peptoniphilus senegalensis JC140	1033744	815	0.309	15763
Anaerococcus lactolyticus S7-1-13	1284686	595.64	0.22599999999999998	5949
Porphyromonas_u_t	836	553.7	0.21	49
Peptoniphilus sp. BV3AC2_u_t	1111133	539.06	0.20500000000000002	7848
Clostridioides difficile T6	1215074	516.08	0.196	1266
Anaerococcus prevotii	33034	440.64	0.167	195
Peptoniphilus duerdenii ATCC BAA-1640	862517	413.44	0.157	4963
Peptoniphilus lacrimalis DSM 7455	1122949	399.31	0.151	7854
Micrococcus luteus	1270	379.03	0.14400000000000002	481
Propionibacteriaceae_u_t	31957	351.2	0.133	10
Peptoniphilus timonensis JC401	1095770	297.97	0.11299999999999999	4406
Mobiluncus_u_t	2050	292.99	0.11100000000000002	107
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640	1122992	270.39	0.10300000000000001	11029
Anaerococcus tetradius ATCC 35098	525255	269.57	0.10200000000000001	10954
Propionibacterium sp. KPL1844_u_t	1203573	216.09	0.082	1824
Staphylococcus_u_t	1279	178.82	0.068	19
Facklamia_u_t	66831	149.95	0.056999999999999995	15
Prevotella melaninogenica DNF00666	1401073	149.64	0.056999999999999995	5604
Christensenella_u_t	990721	143.22	0.054	475
Streptococcus parasanguinis DORA_23_24	1403947	130.57	0.05	3688
Atopobium sp. BV3Ac4_u_t	1111121	89.88	0.034	231
Rothia_u_t	32207	85.72	0.033	19
Peptostreptococcus sp. MV1_u_t	1219626	80.06	0.03	3189
