Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Klebsiella pneumoniae	573	93.65	21956587	21717992
Allobacillus halotolerans	570278	2.79	522459	647018
Imtechella halotolerans	1165090	2.6	599075	602955
Fannyhessea vaginae	82135	0.8100000000000002	87041	187844
Allobacillus salarius	1955272	0.07	12443	16233
Lactobacillus johnsonii	33959	0.03	4195	6957
Lactobacillus sp910589175	1578	0.02	2511	4638
Lactobacillus paragasseri	2107999	0.01	2025	2319
Lacticaseibacillus rhamnosus	47715	0.01	1111	2319
Cutibacterium acnes	1747	0.01	926	2319
Rothia kristinae	37923	0.01	2222	2319
