Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Escherichia coli GCA_000801165.1	562	GCA_000801165.1	Bacteria	92.72	0.138601	0.260432	1470267	1421292
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	2.31	0.477488	0.475495	19790	35410
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	2.27	0.706772	0.706772	23958	34797
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	0.8100000000000002	0.204202	0.099834	5588	12416
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.43	0.10542	0.087785	2989	6591
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.37	0.125071	0.125263	2523	5672
s__Anaerococcus lactolyticus GCA_000758765.1	1284686	GCA_000758765.1	Bacteria	0.28	0.176767	0.100994	1854	4292
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	0.24	0.07702	0.075747	1888	3679
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	Bacteria	0.12	0.062325	0.05624	766	1839
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	Bacteria	0.12	0.049966	0.024893	820	1839
s__Aerococcus sp001813115 GCA_001811965.1	1739333	GCA_001811965.1	Bacteria	0.1	0.053388	0.059211	735	1533
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	Bacteria	0.07	0.035271	0.024418	496	1073
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.06	0.03854	0.010958	532	920
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	Bacteria	0.05	0.034891	0.023095	342	766
s__Facklamia hominis	178214		Bacteria	0.02	0.014446	0.013126	117	307
g__Peptoniphilus_C	162289		Bacteria	0.02	0.25	0.25	106	307
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.02	0.017807	0.014891	115	307
