Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Imtechella halotolerans GCA_000260835.1	946077	30.92	393165	330156
Allobacillus halotolerans GCA_007559355.1	1955271	27.889999999999997	288480	297802
Streptococcus agalactiae GCA_000311525.1	1105255	13.79	120701	147246
Corynebacterium striatum GCA_000159135.1	525268	12.19	133966	130162
Streptococcus anginosus GCA_000508545.1	1403946	2.9	23638	30965
Staphylococcus haemolyticus GCA_000261465.1	1134914	1.6399999999999997	15182	17511
Allobacillus salarius GCA_007559425.1	1955272	0.8500000000000001	8871	9076
Finegoldia magna_H GCA_000179495.1	768713	0.72	5237	7688
Corynebacterium tuberculostearicum GCA_000156615.2	525264	0.68	7031	7261
Actinobaculum massiliense GCA_000315465.1	883066	0.65	5354	6941
Corynebacterium simulans GCA_001586215.1	146827	0.65	7172	6941
Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	0.63	6145	6727
Lactobacillus iners GCA_002871595.1	147802	0.53	2786	5659
Atopobium deltae GCA_001552785.1	1393034	0.5	2938	5339
Veillonella montpellierensis GCA_000759285.1	1401067	0.49	3914	5232
Staphylococcus epidermidis	1282	0.48	4643	5125
Staphylococcus aureus	1280	0.4	3747	4271
Varibaculum cambriense GCA_000420065.1	1123488	0.33	2743	3524
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.31	2292	3310
Finegoldia magna GCA_009678325.1	2584649	0.26	1928	2776
Bifidobacterium piotii GCA_002884815.1	33031	0.26	1736	2776
Propionimicrobium lymphophilum GCA_000510445.1	1111131	0.24	2013	2563
Ureaplasma urealyticum GCA_000255415.2	1161916	0.22	781	2349
Corynebacterium_u_t	1716	0.22	2143	2349
Finegoldia magna_F GCA_000159695.1	525282	0.2	1562	2136
Peptoniphilus_C coxii GCA_001553115.1	755172	0.19	1383	2029
Winkia sp002849225 GCA_002872055.1	2069311	0.18	1592	1922
Aerococcus christensenii GCA_001543105.1	87541	0.17	1122	1815
Corynebacterium aurimucosum_F GCA_000022905.1	548476	0.17	1893	1815
Dermabacter hominis	36740	0.13	1279	1388
Cutibacterium avidum	33010	0.11	1140	1175
Staphylococcus borealis GCA_001921685.1	1280	0.1	1110	1068
Prevotella timonensis GCA_000455445.1	1122992	0.1	1265	1068
Ezakiella coagulans GCA_003096635.1	46507	0.09	681	961
Cutibacterium acnes GCA_000709495.1	1276648	0.09	904	961
Prevotella bivia GCA_000262545.1	868129	0.08	777	854
Akkermansia sp004167605	818	0.08	1120	854
Prevotella timonensis_A GCA_000762405.1	1401062	0.07	888	747
Anaerococcus jeddahensis GCA_001182725.1	1673719	0.06	477	641
Pauljensenia turicensis GCA_000296505.1	883077	0.06	493	641
Peptoniphilus_A_u_t	162289	0.05	428	534
Anaerococcus_u_t	165779	0.04	278	427
Parvimonas parva GCA_001553085.1	1588755	0.03	191	320
Prevotella disiens GCA_000613345.1	1235811	0.03	337	320
Actinotignum timonense GCA_002860685.1	1870995	0.03	308	320
Gemella asaccharolytica GCA_001553005.1	502393	0.02	103	214
Anaerostipes_u_t	207244	0.02	185	214
Blautia_A wexlerae	40520	0.02	370	214
Anaerococcus hydrogenalis GCA_000191745.2	879306	0.02	179	214
Pauljensenia radingae_A	1673722	0.02	238	214
Ralstonia pickettii_B	329	0.02	452	214
Dialister micraerophilus GCA_000194985.1	888062	0.02	103	214
Actinomyces urogenitalis	103621	0.01	135	107
Methanobrevibacter_A smithii_A	2173	0.01	103	107
Methanosphaera stadtmanae GCA_000012545.1	339860	0.01	72	107
