Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium	1678	53.339999999999996	27143928	35642777
Escherichia	561	34.58	34388322	23106997
Lactobacillus	1578	4.1	1423654	2739696
Imtechella	1165076	1.24	786680	828591
Allobacillus	1400133	1.17	603735	781816
Anaerococcus	165779	0.8800000000000002	342564	588030
Prevotella	838	0.78	470660	521210
Facklamia	66831	0.64	242098	427660
Finegoldia	150022	0.54	208552	360838
Propionimicrobium	203133	0.5	210569	334109
Streptococcus	1301	0.44	167021	294015
Enterococcus	1350	0.38	209258	253923
Corynebacterium	1716	0.27	135010	180418
Actinotignum	1653174	0.25	113190	167055
Peptoniphilus_A	162289	0.2	70518	133643
Winkia	2692118	0.17	77269	113597
Staphylococcus	1279	0.15000000000000002	72535	100232
Ezakiella	1582879	0.07	24135	46775
Varibaculum	184869	0.05	21383	33411
Porphyromonas_A	836	0.05	23120	33411
Urinicoccus	2024199	0.05	18184	33411
Falseniella	2862142	0.04	14477	26729
Gleimia	2692113	0.03	12271	20047
Campylobacter_B	194	0.03	7716	20046
Negativicoccus	909928	0.03	6580	20047
Pauljensenia	2740557	0.02	8835	13364
Aerococcus	1375	0.02	8154	13364
Enterobacter	547	0.01	5922	6682
Peptoniphilus_C	162289	0.01	3672	6682
Peptoniphilus_E	162289	0.01	1842	6682
