ID	Name	Copies per Million (CPM)	Relative Abundance
PWY-7238	sucrose biosynthesis II	34609.1	3.4609108236967763
PWY-5941	glycogen degradation II	23019.5	2.3019505478642306
PWY-7221	guanosine ribonucleotides de novo biosynthesis	16553.3	1.6553303939686337
GLYCOCAT-PWY	glycogen degradation I	16259.7	1.6259703869809523
PWY-6151	S-adenosyl-L-methionine salvage I	15647.7	1.564770372415349
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)	15634.5	1.5634503721011888
PWY-7111	pyruvate fermentation to isobutanol (engineered)	14612	1.461200347765683
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	13993.1	1.3993103330358594
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	13743.7	1.374370327100138
VALSYN-PWY	L-valine biosynthesis	13414.3	1.341430319260416
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	13009.5	1.3009503096261739
PWY-2942	L-lysine biosynthesis III	12988.6	1.2988603091287538
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	12929.7	1.2929703077269334
THRESYN-PWY	superpathway of L-threonine biosynthesis	12895.8	1.2895803069201133
PWY-702	L-methionine biosynthesis II	12468.4	1.2468402967479908
DAPLYSINESYN-PWY	L-lysine biosynthesis I	12374.4	1.2374402945107903
PWY-5097	L-lysine biosynthesis VI	12310.8	1.2310802929971099
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	12261.2	1.2261202918166296
PWY-5100	pyruvate fermentation to acetate and lactate II	12261.2	1.2261202918166296
PWY-3841	folate transformations II (plants)	12135.6	1.213560288827349
PWY-5686	UMP biosynthesis I	12071.8	1.2071802873089086
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	11989.7	1.1989702853549282
PWY-3001	superpathway of L-isoleucine biosynthesis I	11924.5	1.1924502838031676
