Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Flavobacteriales	200644	30.92	393165	330156
Bacillales_D	1385	28.74	297351	306878
Lactobacillales	186826	17.39	148247	185685
Mycobacteriales	85010	14.540000000000001	158350	155255
Staphylococcales	1385	2.6399999999999997	24785	28189
Tissierellales	1737405	1.9700000000000002	14636	21036
Actinomycetales	2037	1.67	13878	17833
Veillonellales	1843489	0.51	4017	5446
Coriobacteriales	84999	0.5	2938	5339
Propionibacteriales	85009	0.43999999999999995	4057	4699
Bacteroidales	171549	0.28	3267	2989
Mycoplasmatales	2085	0.22	781	2349
Verrucomicrobiales	48461	0.08	1120	854
Lachnospirales	186802	0.04	555	428
Burkholderiales	80840	0.02	452	214
Methanobacteriales	2158	0.02	175	214
