Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
3.6.4.12	DNA helicase	17914.7	1.7914702065744303
2.7.13.3	Histidine kinase	17321.2	1.7321201997307811
2.7.7.7	DNA-directed DNA polymerase	16278	1.6278001877016404
2.7.7.6	DNA-directed RNA polymerase	11270.3	1.1270301299578447
2.7.1.69	2.7.1.208	9520.86	0.9520861097850497
5.99.1.3	Transferred entry 5.6.2.2	9111.68	0.9111681050667946
1.17.4.1	Ribonucleoside-diphosphate reductase	7203.18	0.7203180830598784
5.2.1.8	Peptidylprolyl isomerase	6073.21	0.6073210700301929
3.4.21.89	Signal peptidase I	5753.66	0.5753660663454613
6.1.1.20	Phenylalanine--tRNA ligase	5650.85	0.565085065159959
2.1.3.3	Ornithine carbamoyltransferase	5119.89	0.5119890590374586
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	5079.91	0.5079910585764491
1.1.5.4	Malate dehydrogenase (quinone)	5051.16	0.5051160582449328
1.4.1.13	Glutamate synthase (NADPH)	5023.54	0.5023540579264466
2.7.6.1	Ribose-phosphate diphosphokinase	4688.75	0.4688750540659827
1.8.1.4	Dihydrolipoyl dehydrogenase	4594.84	0.45948405298310635
6.1.1.10	Methionine--tRNA ligase	4387.88	0.43878805059665027
2.8.1.7	Cysteine desulfurase	4208.39	0.42083904852695087
4.1.2.13	Fructose-bisphosphate aldolase	4191.75	0.419175048335075
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	4002.86	0.40028604615698415
3.1.26.5	Ribonuclease P	3965.2	0.3965200457227266
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	3893.99	0.389399044901604
1.1.1.27	L-lactate dehydrogenase	3855.08	0.38550804445293274
3.5.3.6	Arginine deiminase	3737.23	0.3737230430940043
2.7.8.12	Teichoic acid poly(glycerol phosphate) polymerase	3732.71	0.3732710430418841
2.4.2.9	Uracil phosphoribosyltransferase	3684.54	0.36845404248643576
3.1.11.6	Exodeoxyribonuclease VII	3671.52	0.36715204233630216
4.3.1.17	L-serine ammonia-lyase	3644.64	0.36446404202634886
5.3.1.26	Galactose-6-phosphate isomerase	3570.45	0.35704504117086383
5.4.2.11	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	3498.26	0.3498260403384409
3.1.26.4	Ribonuclease H	3488.36	0.34883604022428394
2.2.1.6	Acetolactate synthase	3419.94	0.3419940394353328
3.6.3.14	Transferred entry 7.1.2.2	3243.58	0.3243580374017254
6.1.1.14	Glycine--tRNA ligase	3228.67	0.3228670372297982
2.7.1.144	Tagatose-6-phosphate kinase	3212.67	0.32126703704530213
2.4.2.8	Hypoxanthine phosphoribosyltransferase	3201.48	0.32014803691627025
1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	3149.37	0.3149370363153897
