Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium longum GCA_902167545.1	1679	GCA_902167545.1	Bacteria	36.41	0.94731	0.830117	7174215	7240824
s__Bifidobacterium dentium GCA_002075955.1	1689	GCA_002075955.1	Bacteria	21.59	0.958233	0.69957	4588803	4293584
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	18.74	0.466333	0.393514	3143944	3726807
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	4.37	0.303552	0.220468	1147742	869058
s__Lactobacillus crispatus GCA_009857395.1	47770	GCA_009857395.1	Bacteria	2.47	0.692905	0.196925	438869	491207
s__Winkia sp002849225 GCA_002872055.1	2069311	GCA_002872055.1	Bacteria	2.21	0.828107	0.515103	395574	439501
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	Bacteria	1.73	0.654697	0.274605	252570	344044
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	Bacteria	1.27	0.663756	0.663487	282175	252564
s__Staphylococcus hominis GCA_001815595.1	1739538	GCA_001815595.1	Bacteria	0.83	0.860997	0.796775	142713	165061
s__Escherichia coli GCA_000249595.2	868160	GCA_000249595.2	Bacteria	0.78	0.126046	0.038028	317168	155118
s__Staphylococcus epidermidis	1282		Bacteria	0.72	0.992722	0.465116	136591	143186
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.72	0.789681	0.766752	106352	143186
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	Bacteria	0.62	0.30127	0.197305	129557	123299
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	Bacteria	0.62	0.303964	0.194489	119845	123299
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	Bacteria	0.59	0.649175	0.642857	94443	117333
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.58	0.789569	0.7868	95881	115344
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	0.37	0.550151	0.338689	54279	73582
s__Lactobacillus paragasseri GCA_014269295.2	2107999	GCA_014269295.2	Bacteria	0.35	0.949005	0.230769	52683	69604
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.35	0.798852	0.557942	52066	69604
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.34	0.030579	0.016084	84364	67615
s__Prevotella bergensis GCA_000160535.1	585502	GCA_000160535.1	Bacteria	0.25	0.516511	0.521246	68284	49717
