Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus anginosus GCA_001835825.1	1715089	25.35	884771	1067436
Bifidobacterium breve GCA_002838565.1	1685	9.71	455208	408868
Prevotella bivia GCA_000262545.1	868129	6.99	339806	294334
Propionimicrobium lymphophilum GCA_000510445.1	1111131	5.46	216652	229909
Prevotella timonensis GCA_000455445.1	1122992	4.7	291292	197907
Finegoldia magna_H GCA_000582635.1	1459804	4.62	168293	194539
Actinobaculum massiliense GCA_000315465.1	883066	3.7900000000000005	147801	159589
Prevotella timonensis_A GCA_000762405.1	1401062	2.76	169087	116218
Bifidobacterium vaginale GCA_013315005.1	2702	2.47	79082	104007
Corynebacterium riegelii GCA_001806945.1	1581072	1.91	93625	80426
Prevotella buccalis GCA_000177075.1	679190	1.7500000000000002	101425	73689
Atopobium deltae GCA_001552785.1	1393034	1.5700000000000003	43962	66109
Peptoniphilus_A harei_A GCA_000183565.2	908338	1.55	54024	65267
Corynebacterium tuscaniense GCA_000759055.1	1401064	1.32	56584	55582
Porphyromonas uenonis GCA_000482365.1	1122976	1.31	57138	55161
Varibaculum massiliense GCA_900106855.1	1852372	1.21	53559	50951
Corynebacterium pyruviciproducens GCA_000411375.1	1125779	1.15	59945	48424
Prevotella sp900547085 GCA_900547085.1	159272	1.09	44476	45898
Anaerococcus vaginalis_B GCA_000307225.1	33037	1.04	39195	43792
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.9399999999999998	32827	39581
Trueperella bernardiae GCA_001808465.1	1581142	0.93	35638	39160
Pauljensenia turicensis GCA_000296505.1	883077	0.91	34381	38318
Actinotignum sanguinis GCA_003957255.1	1445614	0.8699999999999999	34533	36634
Peptoniphilus_C coxii GCA_001553115.1	755172	0.8	28441	33686
Imtechella halotolerans GCA_000260835.1	946077	0.74	44502	31160
Brevibacterium ravenspurgense GCA_001807555.1	1581140	0.7	30780	29476
Corynebacterium striatum GCA_000159135.1	525268	0.7	36376	29476
Allobacillus halotolerans GCA_007559355.1	1955271	0.68	33146	28633
Varibaculum cambriense GCA_000420065.1	1123488	0.63	24876	26528
