Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Escherichia coli GENE senB		-	1460415.6	9.152000000000001	0.880645	0.880645	391588
Escherichia coli GENE yddA		-	1054156.29	6.605999999999999	0.730435	0.730435	62408
Proteus mirabilis GENE tnpA		-	977349.47	6.125	1	1	12104
Escherichia coli GENE vat		-	754409.32	4.728000000000001	0.654709	0.854373	157189
Yersinia pestis GENE irp1		-	709684.74	4.447	0.916137	0.941019	643444
Escherichia coli GENE papC		-	708315.35	4.439	0.809211	0.809211	241794
Escherichia coli GENE yehA		-	703454.48	4.408	0.666667	0.666667	10633
Yersinia pestis GENE ybtP		-	680844.72	4.267	0.936672	0.936672	209904
Escherichia coli GeneID ECC2359		-	633319.75	3.9690000000000003	0.861538	0.98688	16911
Escherichia coli GI 38606113		-	632833.13	3.966	0.534759	0.534759	60988
Escherichia coli GENE ompA		-	630170.79	3.949	1	1	91320
Yersinia pestis GENE ybtE		-	620591.84	3.8890000000000002	0.9678	0.9678	161204
Escherichia coli GENE ireA		-	612714.31	3.84	0.580518	0.580518	462248
Yersinia pestis GENE ybtT		-	600323.64	3.762	0.912281	0.912281	84736
Yersinia pestis GENE ybtQ		-	600003.25	3.7600000000000002	0.882006	0.882006	186588
Yersinia pestis GENE fyuA		-	592678.48	3.714	0.951407	0.951407	209969
Escherichia coli GeneID ECC2363		-	586949.77	3.678	1	1	15944
Yersinia pestis GENE ybtA		-	585532.42	3.669	0.927027	0.927027	104953
Yersinia pestis GENE irp2		-	583351.44	3.656	0.729352	0.805923	347485
Yersinia pestis GENE ybtS		-	580930.06	3.641	0.947059	0.947059	139510
Yersinia pestis GENE ybtX		-	562991.54	3.528	0.893013	0.893013	122970
Escherichia coli GeneID ECC2364		-	553517.05	3.469	0.65	0.987567	3920
Yersinia pestis GENE ybtU		-	532726.55	3.338	0.948649	0.948649	96156
