Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Streptococcus anginosus GCA_001835825.1	1715089	GCA_001835825.1	Bacteria	17.95	0.923077	0.32699	479453	622711
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	15.9	0.734349	0.294288	482338	551593
s__Escherichia coli GCA_000831565.1	758831	GCA_000831565.1	Bacteria	8.46	0.390086	0.210379	584314	293489
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	Bacteria	8.39	0.49405	0.406924	258768	291061
s__Aerococcus sp001809535 GCA_001836025.1	1715184	GCA_001836025.1	Bacteria	5.11	0.634614	0.251309	157766	177273
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	4.97	0.999731	0.999731	229286	172416
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	4.47	0.527148	0.522055	151243	155071
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	4.46	0.660889	0.659071	167453	154724
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	Bacteria	4.17	0.975141	0.968835	131082	144663
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	3.65	0.332797	0.228712	110689	126624
s__Bifidobacterium longum GCA_902167545.1	1679	GCA_902167545.1	Bacteria	3.29	0.912526	0.789822	117043	114135
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	Bacteria	2.84	0.903319	0.892423	96095	98524
s__Aerococcus sp001813115 GCA_001807425.1	1581129	GCA_001807425.1	Bacteria	2.31	0.972748	0.602837	73822	80137
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	Bacteria	2.2	0.714312	0.714739	63700	76321
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	Bacteria	2.07	0.964874	0.956186	57686	71811
s__Lactobacillus gasseri GCA_015550315.1	1596	GCA_015550315.1	Bacteria	1.28	0.919504	0.472222	33949	44405
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.9899999999999999	0.483685	0.438938	26389	34344
s__Aerococcus sanguinicola GCA_001543145.1	119206	GCA_001543145.1	Bacteria	0.72	0.183725	0.032663	21760	24978
s__Vaginimicrobium propionicum GCA_900155645.1	1871034	GCA_900155645.1	Bacteria	0.72	0.379501	0.379448	21710	24978
s__Facklamia hominis GCA_001810675.1	1739262	GCA_001810675.1	Bacteria	0.69	0.523148	0.336373	18310	23937
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	0.57	0.290141	0.201479	27174	19774
s__Aerococcus urinae_A GCA_000193205.1	2976812	GCA_000193205.1	Bacteria	0.53	0.390786	0.128507	16167	18386
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.43	0.44803	0.44776	12970	14917
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	0.34	0.209682	0.11988	15903	11795
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	Bacteria	0.32	0.345434	0.214632	9375	11101
s__Varibaculum timonense_A GCA_900120415.1	1870994	GCA_900120415.1	Bacteria	0.24	0.014188	0.009195	7529	8326
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.22	0.049069	0.02364	6642	7632
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	Bacteria	0.18	0.270576	0.173357	4317	6244
s__Prevotella bergensis GCA_000160535.1	585502	GCA_000160535.1	Bacteria	0.16	0.140738	0.130274	7591	5551
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	Bacteria	0.15	0.174159	0.11306	5300	5204
s__Trueperella bernardiae GCA_001808465.1	1581142	GCA_001808465.1	Bacteria	0.14	0.128874	0.059832	3953	4857
s__Peptoniphilus_A vaginalis GCA_001553125.1	1477000	GCA_001553125.1	Bacteria	0.14	0.116526	0.029925	3504	4857
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	Bacteria	0.13	0.166747	0.166521	3175	4510
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.13	0.051748	0.014405	4964	4510
s__Campylobacter_B ureolyticus_A GCA_000413435.1	883165	GCA_000413435.1	Bacteria	0.12	0.185201	0.086488	2991	4163
s__Corynebacterium riegelii GCA_001806945.1	1581072	GCA_001806945.1	Bacteria	0.11	0.083285	0.081489	4141	3816
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	Bacteria	0.11	0.092112	0.065631	2916	3816
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.1	0.252481	0.144072	2798	3469
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	0.09	0.145918	0.070922	2439	3122
s__Prevotella disiens GCA_000613345.1	1235811	GCA_000613345.1	Bacteria	0.06	0.053225	0.04875	2228	2081
s__Finegoldia magna_H GCA_000582635.1	1459804	GCA_000582635.1	Bacteria	0.06	0.079479	0.042112	1656	2081
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	Bacteria	0.06	0.066319	0.063195	1966	2081
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	0.06	0.051933	0.051847	1537	2081
s__Anaerococcus octavius GCA_002847745.1	54007	GCA_002847745.1	Bacteria	0.06	0.037918	0.030338	1689	2081
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.05	0.037263	0.018062	2058	1735
s__Porphyromonas uenonis GCA_000482365.1	1122976	GCA_000482365.1	Bacteria	0.05	0.055866	0.034931	1767	1735
s__Porphyromonas asaccharolytica GCA_000183605.2	910312	GCA_000183605.2	Bacteria	0.05	0.039895	0.021043	1510	1735
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.04	0.002911	0.002766	2720	1388
s__Prevotella colorans GCA_003096815.1	1703337	GCA_003096815.1	Bacteria	0.04	0.016709	0.016855	1815	1388
s__Porphyromonas uenonis_A GCA_000174775.1	596327	GCA_000174775.1	Bacteria	0.04	0.051692	0.029252	1403	1388
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	0.04	0.065018	0.065025	1330	1388
s__Peptoniphilus_C pacaensis GCA_900088125.1	1776390	GCA_900088125.1	Bacteria	0.04	0.038101	0.03803	1045	1388
s__Prevotella sp001552765 GCA_001552765.1	1497954	GCA_001552765.1	Bacteria	0.03	0.015879	0.010342	1106	1041
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	Bacteria	0.03	0.029462	0.015396	1016	1041
s__Porphyromonas_A sp001808555 GCA_001808555.1	1739394	GCA_001808555.1	Bacteria	0.03	0.036384	0.03487	1006	1041
s__Porphyromonas_A sp900120395 GCA_900120395.1	1720317	GCA_900120395.1	Bacteria	0.03	0.031601	0.031601	882	1041
s__Comamonas tsuruhatensis	80866		Bacteria	0.03	0.027094	0.027483	2643	1041
s__Peptoniphilus_A grossensis GCA_000311825.1	1118057	GCA_000311825.1	Bacteria	0.03	0.025361	0.023924	777	1041
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	Bacteria	0.03	0.072178	0.022784	981	1041
s__Helcococcus sueciensis GCA_000423145.1	1121947	GCA_000423145.1	Bacteria	0.03	0.091926	0.091536	599	1041
s__Anaerococcus lactolyticus GCA_000156575.1	525254	GCA_000156575.1	Bacteria	0.03	0.033863	0.037568	862	1041
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	Bacteria	0.03	0.013334	0.013069	885	1041
s__Staphylococcus simulans	1286		Bacteria	0.02	0.038462	0.038462	863	694
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	Bacteria	0.02	0.021179	0.009533	807	694
s__Bradyrhizobium sp003020075	2057741		Bacteria	0.02	0.018622	0.018656	1773	694
s__Urinicoccus timonensis GCA_900232945.1	2024205	GCA_900232945.1	Bacteria	0.02	0.02333	0.01303	481	694
g__Gleimia	2692113		Bacteria	0.01	0.042952	0.026219	393	347
s__Mobiluncus curtisii GCA_000196535.1	548479	GCA_000196535.1	Bacteria	0.01	0.008452	0.015899	357	347
s__Brevibacterium ravenspurgense	479117		Bacteria	0.01	0.019343	0.011669	335	347
s__Cutibacterium avidum	33010		Bacteria	0.01	0.009226	0.009226	240	347
g__Corynebacterium	1716		Bacteria	0.01	0.034366	0.034366	462	347
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	Bacteria	0.01	0.010334	0.010263	409	347
s__Lawsonella clevelandensis	1528099		Bacteria	0.01	0.007263	0.007263	148	347
