Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillus delbrueckii	1584	25.58	508519	628278
Enterococcus faecalis	1351	18.8	516153	461752
Imtechella halotolerans	1165090	11.38	369622	279508
Allobacillus halotolerans	570278	10.28	271723	252490
Lactobacillus paragasseri	2107999	9.31	182311	228666
Finegoldia magna	1260	4.35	82189	106842
Escherichia coli	562	2.37	112827	58210
Staphylococcus epidermidis	1282	1.8900000000000001	44653	46421
Finegoldia magna_F	1260	1.83	35870	44947
Staphylococcus haemolyticus	1283	1.56	36682	38316
Finegoldia magna_H	1260	1.31	26466	32175
Peptoniphilus_A harei_A	54005	1.13	21360	27754
Limosilactobacillus reuteri	1598	0.9899999999999999	20014	24316
Staphylococcus simulans	1286	0.95	25252	23333
Streptococcus oralis_T	1303	0.51	10290	12526
Negativicoccus succinicivorans	620903	0.49	6535	12035
Aerococcus sp001809535	119206	0.42	9084	10316
Anaerococcus senegalensis	1288120	0.33	6235	8105
Allobacillus salarius	1955272	0.32	8525	7860
Corynebacterium tuberculostearicum_C	38304	0.31	7617	7614
Streptococcus oralis_Y	1303	0.29	6060	7123
Corynebacterium tuberculostearicum	38304	0.29	7657	7123
Staphylococcus aureus	1280	0.27	8398	6632
Ezakiella coagulans	46507	0.22	4053	5403
Porphyromonas asaccharolytica	28123	0.21	4732	5158
Winkia sp002849225	29318	0.21	4850	5158
Streptococcus anginosus	1328	0.2	4000	4912
Citrobacter_B koseri	545	0.18	8226	4421
Dermabacter hominis	36740	0.18	4136	4421
Streptococcus halitosis	2172545	0.15	2940	3684
Collinsella aerofaciens_I	74426	0.15	3588	3684
Streptococcus oralis_W	1303	0.14	2714	3439
Campylobacter_B ureolyticus	827	0.14	2406	3439
Streptococcus oralis_G	1303	0.13	2585	3193
Falseniella ignava	137730	0.13	2330	3193
Peptoniphilus_A vaginalis	54005	0.13	2665	3193
Gemmiger formicilis	745368	0.11	3552	2702
Comamonas tsuruhatensis	80866	0.11	7428	2702
Gleimia urinae	1689268	0.11	2261	2702
Pauljensenia turicensis	131111	0.11	2156	2702
Anaerococcus vaginalis	33037	0.1	1906	2456
Ralstonia pickettii_B	329	0.1	4982	2456
Streptococcus oralis_F	1303	0.09	1780	2211
Anaerococcus obesiensis	1287640	0.09	1877	2211
Anaerococcus vaginalis_C	77133	0.09	1714	2211
Peptostreptococcus anaerobius	1261	0.09	2078	2211
Peptoniphilus_A harei	54005	0.08	1566	1965
Staphylococcus lugdunensis	28035	0.07	1965	1719
Staphylococcaceae_u_s	90964	0.07	1854	1719
Kocuria rhizophila	72000	0.07	1816	1719
Aerococcus sanguinicola	119206	0.06	1221	1474
Peptoniphilus_A lacrimalis	33031	0.06	1076	1474
Peptoniphilus_A grossensis	1465756	0.06	1275	1474
Prevotella buccalis	28127	0.06	1926	1474
Bradyrhizobium sp003020075	2057741	0.06	4753	1474
Varibaculum cambriense_A	184870	0.06	1466	1474
Limosilactobacillus reuteri_E	1598	0.05	908	1228
Mediterraneibacter torques	33039	0.05	1509	1228
Anaerococcus hydrogenalis	33029	0.05	943	1228
Anaerococcus provencensis	938293	0.05	1160	1228
Peptoniphilus_B sp000478985	507751	0.05	982	1228
Campylobacter_B ureolyticus_A	827	0.05	924	1228
Anaerococcus prevotii	33034	0.04	733	982
Peptoniphilus_E obesi	1472765	0.04	728	982
Phocaeicola dorei	357276	0.04	2110	982
Eggerthella lenta	84112	0.04	1394	982
Actinobaculum massiliense	202789	0.04	860	982
Phascolarctobacterium faecium	33025	0.04	1028	982
Facklamia hominis	178214	0.03	624	737
Anaerococcus vaginimassiliensis	2042308	0.03	494	737
Anaerococcus octavius	54007	0.03	684	737
Anaerococcus sp900258475	77133	0.03	774	737
Peptoniphilus_C pacaensis	1776390	0.03	606	737
Prevotella sp900547085	838	0.03	621	737
Bacteroides fragilis	817	0.03	1622	737
Bacteroides uniformis	820	0.03	1622	737
Porphyromonas_A sp001808555	1739394	0.03	753	737
Pseudomonas_E antarctica_A	219572	0.03	1942	737
Atopobium deltae	1393034	0.03	388	737
Allisonella pneumosinta	39950	0.03	343	737
Blautia_A obeum	40520	0.02	777	491
Copromonas sp000435795	186803	0.02	709	491
Gemmiger qucibialis	749906	0.02	855	491
Anaerococcus urinomassiliensis	1745712	0.02	401	491
Fenollaria timonensis	1723384	0.02	385	491
Prevotella sp000479005	28127	0.02	471	491
Agrobacterium oryzihabitans	357	0.02	891	491
Methylobacterium thiocyanatum	223967	0.02	1394	491
Gleimia europaea_B	66228	0.02	347	491
Micrococcus luteus	1270	0.02	548	491
Cutibacterium avidum	33010	0.02	617	491
Clostridium_AQ innocuum	1522	0.01	320	246
Blautia_A wexlerae	40520	0.01	466	246
Blautia_A hydrogenotrophica	53443	0.01	337	246
Faecalibacterium longum	1851428	0.01	419	246
Anaerotruncus colihominis	169435	0.01	499	246
Porphyromonas_A somerae	322095	0.01	160	246
Varibaculum cambriense	184870	0.01	223	246
Akkermansia muciniphila_B	239935	0.01	320	246
Acidaminococcus intestini	187327	0.01	320	246
