Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacteriaceae	31953	68.76	568901	655560
Peptoniphilaceae	1570339	8.219999999999999	81312	78371
Lactobacillaceae	33958	4.37	42702	41664
Actinomycetaceae	2049	2.62	30179	24978
Mycobacteriaceae	1762	2.5	33854	23835
Atopobiaceae	1643824	2.39	18756	22786
Alkalibacillaceae	186817	2.3699999999999997	32513	22595
Flavobacteriaceae	49546	2.21	37335	21070
Bacteroidaceae	815	1.9900000000000002	27061	18973
Staphylococcaceae	90964	1.09	13481	10392
Streptococcaceae	1300	0.84	8976	8008
Enterobacteriaceae	543	0.78	20048	7436
Xanthobacteraceae	335928	0.55	23595	5244
Negativicoccaceae	31977	0.37	2596	3528
Veillonellaceae	31977	0.32	3718	3050
Enterococcaceae	81852	0.24	3393	2288
Propionibacteriaceae	31957	0.12000000000000001	1502	1144
Aerococcaceae	186827	0.12	1245	1144
Micrococcaceae	1268	0.1	1430	953
Lachnospiraceae	186803	0.02	454	191
Burkholderiaceae	119060	0.01	352	95
