Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillus	1578	82.74	4868589	5243385
Ureaplasma	2129	6.63	218941	420155
Enterococcus	1350	2.27	282387	143854
Staphylococcus	1279	1.7100000000000002	172516	108366
Finegoldia	150022	1.12	87338	70976
Blautia_A	572511	0.4600000000000001	80148	29151
Anaerococcus	165779	0.44	36670	27882
Bifidobacterium	1678	0.43	43718	27250
Corynebacterium	1716	0.4	44084	25349
Allobacillus	1400133	0.36	39564	22814
Imtechella	1165076	0.33	44487	20913
Anaerostipes	207244	0.32999999999999996	40412	20912
Collinsella	102106	0.26999999999999996	27088	17108
Faecalibacterium	216851	0.21000000000000002	25797	13307
Peptoniphilus_A	162289	0.2	15664	12674
Porphyromonas_A	836	0.16	15016	10139
Bacteroides	816	0.15000000000000002	36454	9506
Mediterraneibacter	2316020	0.14	16988	8872
Phocaeicola	909656	0.14	31742	8872
Alistipes	239759	0.12	18319	7605
Lachnospira	28050	0.10999999999999999	12238	6972
Gemmiger	204475	0.1	15636	6337
Ruminiclostridium_E	216572	0.1	12327	6337
Pseudoruminococcus	2696673	0.1	10494	6337
Bradyrhizobium	374	0.09	34100	5704
Facklamia	66831	0.08	6189	5070
Prevotella	838	0.08	10272	5071
Varibaculum	184869	0.06	5805	3802
Adlercreutzia	447020	0.05	6543	3168
Akkermansia	239934	0.05	6765	3169
Oliverpabstia	2815777	0.04	5956	2535
Eisenbergiella	1432051	0.04	6759	2535
Barnesiella	397864	0.04	5390	2535
Streptococcus	1301	0.03	2762	1901
Parabacteroides	375288	0.03	8209	1901
Falseniella	2862142	0.02	1591	1267
Dorea_A	2005359	0.02	3116	1267
Bariatricus	1924081	0.02	2500	1267
Agathobaculum	2048137	0.02	1949	1267
Evtepia	2211178	0.02	2513	1267
Fenollaria	1686313	0.02	1252	1267
Desulfovibrio	872	0.02	2006	1267
Negativicoccus	909928	0.02	860	1267
Lactococcus	1357	0.01	631	634
Thomasclavelia	1505663	0.01	1280	634
Clostridium_AQ	1505663	0.01	1553	634
Roseburia	841	0.01	1846	634
Copromonas	186803	0.01	858	634
Ruminococcus_B	186803	0.01	1031	634
Ruthenibacterium	1905344	0.01	1305	634
Dysosmobacter	2591381	0.01	1078	634
Eubacterium	1730	0.01	1935	634
Monoglobus	2039302	0.01	1529	634
Urinicoccus	2024199	0.01	1227	634
Ezakiella	1582879	0.01	401	634
Peptoniphilus_C	162289	0.01	666	634
Alterileibacterium	1980680	0.01	682	634
CAG-41	2039302	0.01	1803	634
Alistipes_A	239759	0.01	1089	634
Odoribacter	283168	0.01	1033	634
Porphyromonas	836	0.01	671	634
Winkia	2692118	0.01	583	634
Eggerthella	84111	0.01	1504	634
Bilophila	35832	0.01	2006	634
Parasutterella	577310	0.01	745	634
Campylobacter_B	194	0.01	573	634
